RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            8     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     5.036D-01  4.943D+00
    1    2     1     2  ---    0  1.0D+00  5.5D-01  3.319D-01  4.688D+00
    2    3     2     3  con    0  1.0D+00  1.4D+00  1.581D-01  4.100D+00
    3    4     2     4  con    0  1.0D+00  2.3D-01  1.122D-02  4.066D+00
    4    8     1     4  con    3  8.5D+01  1.8D+01  9.867D-03  3.771D+00
    5   11     1     4  con    2  5.4D-01  7.0D+01  1.277D-02  2.871D+00
    6   14     1     4  bnd    2  7.9D-01  1.0D+02  4.614D-02  1.787D+00
    7   15     1     3  bnd    0  1.0D+00  5.7D+02  4.955D-02  9.385D-01
    8   16     1     3  con    0  1.0D+00  5.3D+01  1.819D-02  6.655D-01
    9   17     1     2  bnd    0  1.0D+00  1.9D+02  3.274D-03  4.745D-01
   10   19     1     1  bnd    1  5.0D+00  4.8D+01  4.404D-03  3.606D-01
   11   21     1     0  bnd    1  3.2D-01  6.4D+01  1.738D-02  1.923D-01
   12   22     1     0  bnd    0  1.0D+00  3.2D+01  6.830D-03  1.712D-01
   13   23     1     1  con    0  1.0D+00  8.6D+00  6.057D-03  1.685D-01
   14   24     2     2  con    0  1.0D+00  1.3D+01  6.126D-04  1.632D-01
   15   25     1     2  con    0  1.0D+00  7.2D+00  6.458D-04  1.622D-01
   16   26     1     2  con    0  1.0D+00  2.9D+01  6.016D-04  1.572D-01
   17   27     1     2  con    0  1.0D+00  2.1D+01  4.710D-04  1.482D-01
   18   29     1     2  bnd    1  1.1D-01  2.7D+01  8.804D-04  1.459D-01
   19   30     2     3  con    0  1.0D+00  3.0D+01  2.744D-04  1.315D-01
   20   31     1     3  con    0  1.0D+00  5.1D+01  3.231D-04  1.203D-01
   21   32     1     3  con    0  1.0D+00  3.6D+01  4.349D-04  1.154D-01
   22   33     1     3  con    0  1.0D+00  5.7D+01  4.068D-04  1.067D-01
   23   34     1     2  bnd    0  1.0D+00  1.2D+02  9.744D-04  9.291D-02
   24   35     1     3  bnd    0  1.0D+00  2.3D+01  1.299D-03  9.158D-02
   25   38     1     3  bnd    2  4.0D-02  4.9D+00  8.129D-04  9.133D-02
   26   39     1     3  con    0  1.0D+00  3.3D+00  2.187D-04  9.112D-02
   27   40     1     3  con    0  1.0D+00  6.7D+00  1.324D-04  9.096D-02
   28   42     1     3  con    1  3.5D-01  3.3D+00  4.984D-04  9.090D-02
   29   43     1     3  con    0  1.0D+00  2.6D+00  3.052D-04  9.087D-02
   30   44     1     3  con    0  1.0D+00  8.7D-01  3.693D-05  9.085D-02
   31   45     1     3  con    0  1.0D+00  2.6D-01  5.742D-05  9.085D-02
   32   46     1     3  con    0  1.0D+00  7.5D-01  1.814D-04  9.084D-02
   33   47     1     3  con    0  1.0D+00  6.2D-01  1.606D-04  9.083D-02
   34   48     1     3  con    0  1.0D+00  3.1D-01  4.438D-05  9.083D-02
   35   49     1     3  con    0  1.0D+00  1.1D-01  5.894D-06  9.083D-02

CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL            

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            8     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.189D-01  4.437D-01
    1    2     1     2  ---    0  1.0D+00  1.3D-01  1.028D-01  4.269D-01
    2    3     1     2  con    0  1.0D+00  1.3D+00  3.391D-02  3.309D-01
    3    4     1     2  con    0  1.0D+00  3.8D-01  2.908D-02  3.231D-01
    4    5     3     4  con    0  1.0D+00  5.5D-01  2.161D-03  3.141D-01
    5    6     1     3  con    0  1.0D+00  1.8D-02  1.011D-03  3.141D-01
    6    7     1     3  con    0  1.0D+00  7.0D-02  4.393D-03  3.140D-01
    7    8     1     3  con    0  1.0D+00  2.3D-01  1.070D-02  3.137D-01
    8    9     1     3  con    0  1.0D+00  6.5D-01  1.943D-02  3.130D-01
    9   10     1     3  con    0  1.0D+00  1.8D+00  2.980D-02  3.112D-01
   10   11     1     3  con    0  1.0D+00  5.3D+00  3.598D-02  3.063D-01
   11   13     1     3  con    1  3.4D+00  8.7D+01  3.550D-03  2.281D-01
   12   16     1     4  con    2  2.1D+01  7.7D+00  2.542D-03  2.101D-01
   13   17     1     4  con    0  1.0D+00  1.7D+01  1.485D-03  1.934D-01
   14   19     1     2  bnd    1  4.1D-01  8.8D+00  5.415D-03  1.912D-01
   15   21     1     2  con    1  3.1D-01  1.2D+00  5.465D-03  1.904D-01
