sample	chromosome	part_name	reads_us	reads_ds	reads_strength
flask_7	0x58v50	pSrpR	41.0	646.0	605.0
flask_7	0x58v50	pDNA2.0	1445.5	1318.5	-127.0
flask_7	0x58v50	pLitR	51.0	1895.0	1844.0
flask_7	0x58v50	pJ23105	276.0	11390.0	11114.0
flask_7	0x58v50	pPhlF	0.0	129133.5	129133.5
flask_7	0x58v50	pBM3R1	303.0	166.0	-137.0
flask_7	0x58v50	pBAD2	20090.5	5211.5	-14879.0
flask_7	0x58v50	pBAD1	1832.5	11515.5	9683.0
flask_7	0x58v50	pTet1	0.0	1127.5	1127.5
flask_7	0x58v50	pTet2	251.5	50435.0	50183.5
flask_7	0x58v50	pAmtR	22.0	376.5	354.5
flask_7	0x58v50	pTac	0.0	185.5	185.5
