Variant,Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,vLeft,P2,S2,Ru1,nifU,S10,scarC,S0,Rs1,nifS,S10,scarD,S0,Rv1,nifV,S10,scarF,S0,Rw2,nifW,S10,scarD,S0,Rz2,nifZ,S10,scarA,S0,Rm1,nifM,T1,S11,vRight,,,,,,,,,,,,,
2,vLeft,P2,S2,Ru1,nifU,S10,scarC,S0,Rs1,nifS,S10,scarD,S0,Rv1,nifV,S10,scarF,S0,Rw2,nifW,S10,scarD,S0,Rz2,nifZ,T1,P1,S13,scarA,P3,S3,Rm2,nifM,T1,S11,vRight,,,,,,,,,,
3,vLeft,P2,S2,Ru1,nifU,S10,scarC,P3,S3,Rs2,nifS,S10,scarD,P2,S2,Rv2,nifV,T1,P1,S13,scarF,S0,Rw2,nifW,S10,scarD,S0,Rz2,nifZ,T1,P1,S13,scarA,P3,S3,Rm2,nifM,T1,S11,vRight,,,,,,
4,vLeft,P2,S2,Ru1,nifU,S10,scarC,P3,S3,Rs2,nifS,S10,scarD,P2,S2,Rv2,nifV,T1,P1,S13,scarF,rS10,rnifW,rRw1,rS2,rP2,scarD,rS13,rP1,rT1,rnifZ,rRz1,rS1,rP1,scarA,rS10,rnifM,rRm2,rS3,rP3,vRight,,,,,
5,vLeft,P1,S1,Ru1,nifU,T1,P1,S13,scarC,P3,S3,Rv1,nifV,S10,scarD,S0,Rs1,nifS,T1,P1,S13,scarF,rS10,rnifW,rRw1,rS2,rP2,scarD,rS13,rP1,rT1,rnifZ,rRz1,rS1,rP1,scarA,rS10,rnifM,rRm2,rS3,rP3,vRight,,,,
6,vLeft,P1,S1,Ru1,nifU,T1,P1,S13,scarC,P3,S3,Rv1,nifV,S10,scarD,S0,Rs1,nifS,T1,P1,S13,scarF,rS10,rnifW,rRw1,rS2,rP2,scarD,rS10,rnifM,rRm1,rS0,scarA,rS10,rnifZ,rRz1,rS2,rP2,vRight,,,,,,,
7,vLeft,P1,S1,Ru1,nifU,T1,P1,S13,scarC,S0,Rs1,nifS,S10,scarD,rS11,rT1,rnifV,rRv2,rS1,rP1,scarF,rS10,rnifW,rRw1,rS2,rP2,scarD,rS10,rnifM,rRm1,rS0,scarA,rS10,rnifZ,rRz1,rS2,rP2,vRight,,,,,,,,
8,vLeft,P1,S1,Ru1,nifU,T1,P1,S13,scarC,S0,Rs1,nifS,S10,scarD,rS11,rT1,rnifV,rRv2,rS1,rP1,scarF,P3,S3,Rw1,nifW,S10,scarD,P1,S1,Rm1,nifM,T1,P1,S13,scarA,P1,S1,Rz1,nifZ,T1,S11,vRight,,,,
9,vLeft,rS11,rT1,rnifU,rRu2,rS0,scarC,rS11,rT1,rnifS,rRs1,rS1,rP1,scarD,P2,S2,Rv2,nifV,T1,P1,S13,scarF,P3,S3,Rw1,nifW,S10,scarD,P1,S1,Rm1,nifM,T1,P1,S13,scarA,P1,S1,Rz1,nifZ,T1,S11,vRight,,,
10,vLeft,rS11,rT1,rnifU,rRu2,rS0,scarC,rS11,rT1,rnifS,rRs1,rS1,rP1,scarD,P2,S2,Rv2,nifV,T1,P1,S13,scarF,P3,S3,Rw1,nifW,S10,scarD,S0,Rz2,nifZ,S10,scarA,S0,Rm1,nifM,T1,S11,vRight,,,,,,,
11,vLeft,rS11,rT1,rnifU,rRu2,rS0,scarC,rS13,rP1,rT1,rnifV,rRv1,rS0,scarD,rS10,rnifS,rRs1,rS1,rP1,scarF,P3,S3,Rw1,nifW,S10,scarD,S0,Rz2,nifZ,S10,scarA,S0,Rm1,nifM,T1,S11,vRight,,,,,,,,,
12,vLeft,rS11,rT1,rnifU,rRu2,rS0,scarC,rS13,rP1,rT1,rnifV,rRv1,rS0,scarD,rS10,rnifS,rRs1,rS1,rP1,scarF,P2,S2,Rz1,nifZ,T1,P1,S13,scarD,P3,S3,Rw1,nifW,T1,S11,scarA,rS10,rnifM,rRm2,rS3,rP3,vRight,,,,,
13,vLeft,P3,S3,Rs2,nifS,T1,P1,S13,scarC,P1,S1,Ru1,nifU,T1,S11,scarD,rS11,rT1,rnifV,rRv2,rS1,rP1,scarF,P2,S2,Rz1,nifZ,T1,P1,S13,scarD,P3,S3,Rw1,nifW,T1,S11,scarA,rS10,rnifM,rRm2,rS3,rP3,vRight,,
14,vLeft,P3,S3,Rs2,nifS,T1,P1,S13,scarC,P1,S1,Ru1,nifU,T1,S11,scarD,rS11,rT1,rnifV,rRv2,rS1,rP1,scarF,P2,S2,Rz1,nifZ,T1,P1,S13,scarD,P1,S1,Rm1,nifM,T1,P1,S13,scarA,P1,S1,Rw2,nifW,T1,S11,vRight
