part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
P1,Promoter,,,,,,,,,,
P2,Promoter,,,,,0;1;0,,,,,
R1,RBS,,,,,0;0;0,,,,,
R2,RBS,,,,,0;0;1,,,,,
C1,CDS,,4,2,2,1;1;0,/////////////,4,8,,
C2,CDS,80,5,2,2,0;1;1,,4,8,,
T1,Terminator,,,4,4,1;0;0,,,,,
T2,Terminator,,,4,4,,,,,,
Z1,Ribozyme,,,,,,,,,,
Sc1,Scar,,1.5,4,4,,,,,,
Sp1,Spacer,10,,6,6,,,,,,
Rb1,Ribonuclease,,,6,6,,,,,,
Ps1,ProteinStability,,,6,6,,,,,,
Pe1,Protease,,,6,6,,,,,,
Op1,Operator,,,6,6,,,,,,
Ori1,Origin,,,6,6,,,,,,
Ins1,Insulator,,,6,6,,,,,,
