Chr	Locus	Gene Name	CT State 1	CT State 2	CT State 3	CT State 4	CT State 5	CT State 6	CT State 7	CT State 8	EF State 1	EF State 2	EF State 3	EF State 4	EF State 5	EF State 6	EF State 7	EF State 8
DH10B	SYNTHETIC_AmtR	AmtR	2369.4	7385.4	15045.9	18372.8	5169.3	7750.5	19908.3	33026.2	2693.6	7284.5	12805.1	21797.1	9082.2	8381.6	17169.8	23503.3
DH10B	SYNTHETIC_BM3R1	BM3R1	315.2	264.5	1047.3	596.2	4598.5	2206.5	1006.5	1436.8	179.7	171.2	577.7	767.6	19953.8	13999.7	21432.3	24305.1
DH10B	SYNTHETIC_LitR	LitR	643.6	1257.1	54532.2	42059.7	36288.9	17807.5	82382.4	84971.6	506.5	434.7	50765.7	67369.2	91579.6	111877.6	175798	230935.7
DH10B	SYNTHETIC_PhlF	PhlF	12631.4	9362.6	3276.7	2471.3	1807.9	11787.7	14516.8	18425.7	11526.7	11293.4	3836.2	3800.2	3325.6	3961.8	7167.7	8438.9
DH10B	SYNTHETIC_SrpR	SrpR	45571.5	9771.9	10541.5	8589.6	40481.1	7023.2	3044.7	4326.6	80529.9	7270.3	12461.2	12036.7	58536.2	9478.7	14146.1	10450.1
DH10B	SYNTHETIC_YFP	YFP	683.7	427.5	59413.8	74388.4	81578.9	3029	18009.1	11789.1	555.7	454.4	62157.7	71022.9	140996.5	64763.3	118948.2	104158.3
DH10B	SYNTHETIC_AraC	AraC	5198.9	4562.6	4897.3	6283.7	4787.1	4299.9	2417.1	3769.6	5244.1	3940	9607	6130.1	10757.2	11128.3	19660.7	21825.5
DH10B	SYNTHETIC_KanR	KanR	4589.1	4242.5	5671.7	3987.9	2767.5	3303.1	2261.6	1762.5	2269.5	3707.1	5359.3	6187.4	6655.1	5962.3	6909.9	8538.3
DH10B	SYNTHETIC_LacI	LacI	827.6	1071.4	1156.2	1403.1	1191.8	1311.2	829.6	1171.7	1013.6	1382.9	1237.5	1082.2	1985.7	2098.5	3115.1	3473.9
DH10B	SYNTHETIC_TetR	TetR	1037.9	1023.5	1638.5	1486.5	1145.2	1330.4	428	994.2	1168.6	1006.4	1603.2	2127.4	2821.5	3013.4	4752.7	3172.5
DH10B	ECDH10B_0001	thrL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0002	thrA	185.2	289.3	235	283.6	190	292.3	389.4	784.3	375.6	325.3	312.6	253.8	164.9	127.5	249.9	214.3
DH10B	ECDH10B_0003	thrB	205.2	292.8	340.3	234.4	208.1	287.2	0	332.5	389.5	437.3	313.8	214.3	105.7	138.8	253.9	224.4
DH10B	ECDH10B_0004	thrC	204.1	301.9	265.1	245.4	200.3	403.9	320.7	120.5	451	322.2	335.9	304.9	172	139.3	194.7	189.7
DH10B	ECDH10B_0005	yaaX	13.5	33.7	0	23.3	85.7	36.3	0	0	79.3	33.5	0	0	48.3	25.7	0	14.2
