ID,Cluster
SM-574RA,1
SM-574RB,2
SM-574RC,3
SM-574RD,4
SM-574RE,5
SM-574RF,6
SM-574RG,7
SM-574RH,8
SM-574RI,9
SM-574RJ,10
SM-574RK,11
SM-574RL,12
SM-574RM,13
SM-574RN,14
SM-574RO,15
SM-574RP,16
SM-574RQ,17
SM-574RR,18
SM-574RS,19
SM-574TZ,20
SM-574RU,21
SM-574RV,22
SM-574RW,23
SM-574RX,24
SM-574RY,25
SM-574RZ,26
SM-574S1,27
SM-574S2,28
SM-574S3,29
SM-574S4,30
SM-574S5,31
SM-574S6,32
SM-574S7,33
SM-574S8,34
SM-574S9,35
SM-574SA,36
SM-574SB,37
SM-574SC,38
SM-574SD,39
SM-574SE,40
SM-574SF,41
SM-574SG,42
SM-574SH,43
SM-574SI,44
SM-574SJ,45
SM-574SK,46
SM-574SL,47
SM-574SM,48
SM-574SN,49
SM-574SO,50
SM-574SP,51
SM-574SQ,52
SM-574SR,53
SM-574SS,54
SM-574ST,55
SM-574SU,56
SM-574SV,57
SM-574SW,58
SM-574SX,59
SM-574SY,60
SM-574SZ,61
SM-574T1,62
SM-574T2,63
SM-574T3,64
SM-574T4,65
SM-574T5,66
SM-574T6,67
SM-574T7,68
SM-574T8,69
SM-574T9,70
SM-574TA,71
SM-574TB,72
SM-574TC,73
SM-574TD,74
SM-574TE,75
SM-574TF,76
SM-574TG,77
SM-574TH,78
SM-574TI,79
SM-574TJ,80
SM-574TK,81
SM-574TL,82
SM-574TM,83
SM-574TN,84
SM-574TO,1
SM-574TP,2
SM-574TQ,3
SM-574TR,4
SM-574TS,5
SM-574TT,6
SM-574TU,7
SM-574TV,8
SM-574TW,WT_IPTG
SM-574TX,WT_IPTG2
SM-574TY,WT
SM-574RT,WT2
