	N13	N14	N15	N16	N17	N5	Rhizobium_1	Rhizobium_2	Rhizobium_synnifI4_1	Rhizobium_synnifI4_2
BN877_I0001_locusTag_BN877_I0001	0	0	3.75214357228758	6.6619666325729	3.190568965884	4.51800560834815	6.16560625572795	4.80745572270949	0	6.08316109199866
BN877_I0002_locusTag_BN877_I0002	0	6.78066068954577	9.19867618932397	15.0833937157906	17.4843179330443	6.18966768343697	13.781752509514	20.0535481400425	23.2357058595781	16.6678613920763
BN877_I0008_locusTag_BN877_I0008	44.8431277302868	26.5165501825812	90.384626375546	90.9200759867247	121.72150860134	62.2424683250645	40.7317969284609	26.1405655456793	70.177673074494	39.8655204384507
BN877_I0009_locusTag_BN877_I0009	81.5928154207049	52.3827864428429	135.855227739321	95.247914172593	94.9544503131659	54.1927986017657	39.68717322413	40.5019906893058	31.4754062743749	59.0171057873947
BN877_I0010_locusTag_BN877_I0010	0	0	39.9625380668268	43.6081429385056	37.1582539526652	2.66939846185961	10.1856270177262	6.51811854876917	12.3302684396346	13.478055034024
BN877_I0011_locusTag_BN877_I0011	40.0234231432089	0	34.7442258544125	34.2827386500369	25.1292828592338	26.061758667103	9.59341006604539	7.65718556430932	13.7579837326449	8.36134494174882
BN877_I0012_locusTag_BN877_I0012	0	0	15.0797970316786	7.08732084379844	6.61449606546444	6.08819772141341	0	2.57840541819897	8.33247648652904	13.0217667125596
BN877_I0014_locusTag_BN877_I0014	37.8330865532821	0	11.8449444638646	12.8096761917542	34.4600984903093	16.013070623817	44.4572661597226	24.550973481371	15.5338207705513	22.6747181561984
BN877_I0015_locusTag_BN877_I0015	36.0828014102477	0	25.6107166250803	25.9840406736651	16.7520155394621	36.124750892657	33.0660805244912	33.4435699216395	13.6954227152763	34.5702418774715
BN877_I0016_locusTag_BN877_I0016	23.6418436247395	0	5.66112889853915	12.0616659031846	18.9797948739766	12.6504157033748	57.5456583867942	46.4959896763545	33.2140564294456	55.3821124417378
BN877_I0017_locusTag_BN877_I0017	21.4535275962947	0	15.8524980284765	15.2365093765201	11.8208279294921	8.70422017983324	36.1215287547746	53.1443601137769	43.6804040817265	42.0155441584932
BN877_I0022_locusTag_BN877_I0022	15.0881952325589	54.4874519695642	25.8471205950017	35.6840979627439	24.4672374921551	33.1589340184123	33.1444796815789	28.7005875428655	30.1467723903567	37.7282437341571
