gene_name	N13	N14	N15	N16	N17	N5	Rhizobium_1	Rhizobium_2	Rhizobium_synnifI4_1	Rhizobium_synnifI4_2
BN877_I0001_locusTag_BN877_I0001	0	0	19	95	13	5	38	67	0	0
BN877_I0002_locusTag_BN877_I0002	0	2	34	157	52	5	62	204	0	0
BN877_I0008_locusTag_BN877_I0008	19	7	299	847	324	45	164	238	0	0
BN877_I0009_locusTag_BN877_I0009	45	18	585	1155	329	51	208	480	0	0
BN877_I0010_locusTag_BN877_I0010	0	0	274	842	205	4	85	123	0	0
BN877_I0011_locusTag_BN877_I0011	18	0	122	339	71	20	41	74	0	0
BN877_I0012_locusTag_BN877_I0012	0	0	34	45	12	3	0	16	0	0
BN877_I0014_locusTag_BN877_I0014	18	0	44	134	103	13	201	251	0	0
BN877_I0015_locusTag_BN877_I0015	24	0	133	380	70	41	209	478	0	0
BN877_I0016_locusTag_BN877_I0016	23	0	43	258	116	21	532	972	0	0
BN877_I0017_locusTag_BN877_I0017	13	0	75	203	45	9	208	692	0	0
BN877_I0022_locusTag_BN877_I0022	16	36	214	832	163	60	334	654	0	0
BN877_I0024_locusTag_BN877_I0024	0	0	52	194	64	16	95	272	0	0
BN877_I0025_locusTag_BN877_I0025	6	0	36	231	54	37	252	336	0	0
BN877_I0026_locusTag_BN877_I0026	0	6	60	285	68	7	100	255	0	0
BN877_I0027_locusTag_BN877_I0027	0	5	71	142	77	33	423	937	0	0
BN877_I0028_locusTag_BN877_I0028	45	8	348	1077	542	111	1820	3946	0	0
BN877_I0029_locusTag_BN877_I0029	0	0	0	1	0	0	0	11	0	0
BN877_I0032_locusTag_BN877_I0032	15	4	72	415	172	0	194	457	0	0
BN877_I0033_locusTag_BN877_I0033	0	0	57	117	47	15	15	150	0	0
BN877_I0037_locusTag_BN877_I0037	0	0	49	86	3	2	58	134	0	0
BN877_I0038_locusTag_BN877_I0038	0	9	144	175	141	20	39	509	0	0
BN877_I0044_locusTag_BN877_I0044	0	7	25	141	85	35	13	57	0	0
BN877_I0049_locusTag_BN877_I0049	29	5	266	1113	272	31	671	1414	0	0
BN877_I0051_locusTag_BN877_I0051	24	72	868	3735	443	82	487	1040	0	0
BN877_I0052_locusTag_BN877_I0052	8	0	73	280	40	8	58	209	0	0
BN877_I0060_locusTag_BN877_I0060	22	31	225	1115	327	89	337	997	0	0
BN877_I0061_locusTag_BN877_I0061	48	80	751	2925	1015	355	699	1803	0	0
BN877_I0062_locusTag_BN877_I0062	7	11	230	1513	109	275	379	626	0	0
BN877_I0063_locusTag_BN877_I0063	0	0	90	276	27	56	49	120	0	0
BN877_I0064_locusTag_BN877_I0064	0	0	61	155	0	18	36	29	0	0
BN877_I0069_locusTag_BN877_I0069	10	7	105	259	151	21	210	320	0	0
BN877_I0071_locusTag_BN877_I0071	0	18	61	166	70	21	22	74	0	0
BN877_I0072_locusTag_BN877_I0072	0	0	17	88	4	22	17	47	0	0
BN877_I0073_locusTag_BN877_I0073	0	10	90	231	94	22	183	602	0	0
