part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth,label,label_style,label_size,label_y_offset,label_x_offset,label_color
P10,Promoter,,,,,firebrick,,,,,,,,,17,,
P23,Promoter,,,,,firebrick,,,,,,,,,17,,
P24,Promoter,,,,,firebrick,,,,,,,,,17,,
P7,Promoter,,,,,firebrick,,,,,,,,,17,,
P22,Promoter,,,,,firebrick,,,,,,,,,17,,
P36,Promoter,,,,,firebrick,,,,,,,,,17,,
P1,Promoter,,,,,dark_golden_rod,,,,,,,,,17,,
P6,Promoter,,,,,dark_golden_rod,,,,,,,,,17,,
P26,Promoter,,,,,dark_golden_rod,,,,,,,,,17,,
P9,Promoter,,,,,dark_golden_rod,,,,,,,,,17,,
P15,Promoter,,,,,dark_golden_rod,,,,,,,,,17,,
P18,Promoter,,,,,dark_golden_rod,,,,,,,,,17,,
P35,Promoter,,,,,dodger_blue,,,,,,,,,17,,
P20,Promoter,,,,,dodger_blue,,,,,,,,,17,,
P28,Promoter,,,,,dodger_blue,,,,,,,,,17,,
P17,Promoter,,,,,dodger_blue,,,,,,,,,17,,
P30,Promoter,,,,,dodger_blue,,,,,,,,,17,,
P27,Promoter,,,,,dodger_blue,,,,,,,,,17,,
P39,Promoter,,,,,,,,,,,,,,17,,
P40,Promoter,,,,,,,,,,,,,,17,,
P41,Promoter,,,,,,,,,,,,,,17,,
P42,Promoter,,,,,,,,,,,,,,17,,
P43,Promoter,,,,,,,,,,,,,,17,,
P44,Promoter,,,,,,,,,,,,,,17,,
P25,Promoter,,,,,dark_sea_green,,,,,,,,,17,,
T19,Terminator,,,,,firebrick,,,,,,,,,17,,
T20,Terminator,,,,,firebrick,,,,,,,,,17,,
T16,Terminator,,,,,firebrick,,,,,,,,,17,,
T12,Terminator,,,,,firebrick,,,,,,,,,17,,
T7,Terminator,,,,,firebrick,,,,,,,,,17,,
T13,Terminator,,,,,firebrick,,,,,,,,,17,,
T5,Terminator,,,,,dark_golden_rod,,,,,,,,,17,,
T22,Terminator,,,,,dark_golden_rod,,,,,,,,,17,,
T21,Terminator,,,,,dark_golden_rod,,,,,,,,,17,,
T1,Terminator,,,,,dark_golden_rod,,,,,,,,,17,,
T2,Terminator,,,,,dark_golden_rod,,,,,,,,,17,,
T6,Terminator,,,,,dark_golden_rod,,,,,,,,,17,,
T25,Terminator,,,,,dodger_blue,,,,,,,,,17,,
T4,Terminator,,,,,dodger_blue,,,,,,,,,17,,
T10,Terminator,,,,,dodger_blue,,,,,,,,,17,,
T9,Terminator,,,,,dodger_blue,,,,,,,,,17,,
T18,Terminator,,,,,dodger_blue,,,,,,,,,17,,
T15,Terminator,,,,,dodger_blue,,,,,,,,,17,,
T34,Terminator,,,,,,,,,,,,,,17,,
T35,Terminator,,,,,,,,,,,,,,17,,
T36,Terminator,,,,,,,,,,,,,,17,,
T37,Terminator,,,,,,,,,,,,,,17,,
T38,Terminator,,,,,,,,,,,,,,17,,
T39,Terminator,,,,,,,,,,,,,,17,,
T17,Terminator,,,,,dark_sea_green,,,,,,,,,17,,
MAR7_ClonNAT,CDS,,,,,dark_sea_green,,,,,,,,,,,
ITE_01,CDS,40,,,,light_steel_blue,,,,,,,,,,,
CAD_02,CDS,40,,,,alice_blue,,,,,,,,,,,
ACO_01,CDS,40,,,,pale_golden_rod,,,,,,,,,,,
PYC_01,CDS,40,,,,gold,,,,,,,,,,,
CSC_03,CDS,40,,,,orange,,,,,,,,,,,
ACDH_67,CDS,50,,,,salmon,,,,,,,,,,,
con5,Spacer,,,,,,,,,,,,,,-8,,
conA,Spacer,,,,,,,,,,,,,,-8,,
conB,Spacer,,,,,,,,,,,,,,-8,,
conC,Spacer,,,,,,,,,,,,,,-8,,
conD,Spacer,,,,,,,,,,,,,,-8,,
conE,Spacer,,,,,,,,,,,,,,-8,,
conF,Spacer,,,,,,,,,,,,,,-8,,
con3,Spacer,,,,,,,,,,,,,,-8,,
5INT,Scar,20,,,,dark_slate_gray,,,,,,,,,8,-8,
3INT,Scar,20,,,,dark_slate_gray,,,,,,,,,8,8,
A,Scar,,,,,,,,,,,,,,,,
B,Scar,,,,,,,,,,,,,,,,
C,Scar,,,,,,,,,,,,,,,,
D,Scar,,,,,,,,,,,,,,,,
