gene_name	N8	N9
PST_0006	0	80
PST_0007	45	47
PST_0008	31	12
PST_0012	397	1164
PST_0013	215	1170
PST_0014	29	47
PST_0015	25	95
PST_0016	10	24
PST_0017	210	144
PST_0022	474	2286
PST_0023	21	53
PST_0024	70	203
PST_0028	684	298
PST_0029	1813	565
PST_0031	396	321
PST_0032	63	188
PST_0033	75	59
PST_0034	454	243
PST_0035	26	61
PST_0040	8	49
PST_0041	0	187
PST_0045	246	4908
PST_0046	310	3495
PST_0047	32	141
PST_0048	16	17
PST_0049	50	32
PST_0050	58	107
PST_0051	738	1419
PST_0052	166	700
PST_0055	118	550
PST_0056	704	5420
PST_0057	1618	2957
PST_0058	462	558
PST_0059	7	48
PST_0060	64	169
PST_0061	189	574
PST_0062	212	1066
PST_0063	243	2635
PST_0064	534	4810
PST_0065	348	3104
PST_0066	688	3257
PST_0072	386	1196
PST_0073	11	97
PST_0074	280	450
PST_0075	467	2047
PST_0081	205	139
PST_0082	297	148
PST_0083	977	594
PST_0085	592	1983
PST_0086	1385	4881
PST_0087	1736	6125
PST_0088	310	2082
PST_0089	457	2168
PST_0090	352	1699
PST_0091	1000	5487
PST_0092	3	42
PST_0093	63	301
PST_0094	0	23
PST_0095	455	2843
PST_0098	107	463
PST_0099	65	315
PST_0100	53	65
PST_0101	44	47
PST_0102	37	86
PST_0103	98	156
PST_0104	45	118
PST_0105	61	427
PST_0106	24	127
PST_0109	4784	7871
PST_0110	869	1529
PST_0111	697	1099
PST_0114	455	1011
PST_0115	42	100
PST_0116	46	20
PST_0117	90	194
PST_0118	223	59
PST_0119	132	464
PST_0120	138	462
PST_0121	32	89
PST_0134	1033	3119
PST_0136	267	1064
PST_0137	191	980
PST_0138	524	759
PST_0139	87	105
PST_0140	64	158
PST_0141	371	52
PST_0142	1215	433
PST_0143	544	340
PST_0144	116	393
PST_0145	80	151
PST_0146	18	76
PST_0147	167	973
PST_0148	350	1935
PST_0149	64	546
PST_0150	171	735
PST_0151	101	235
PST_0152	1181	7302
PST_0153	95	333
PST_0154	114	201
PST_0155	139	351
PST_0156	970	3018
PST_0157	92	664
PST_0158	170	1008
PST_0159	237	740
PST_0160	312	798
PST_0167	2633	8132
PST_0168	35	121
PST_0170	30	81
PST_0171	46	201
PST_0172	106	133
PST_0174	600	2303
PST_0175	805	5151
PST_0176	4503	10431
PST_0177	28	191
PST_0178	51	121
PST_0183	301	2605
PST_0184	7	68
PST_0185	27	82
PST_0188	293	927
PST_0189	67	233
PST_0190	72	268
PST_0191	99	603
PST_0192	55	188
PST_0195	73	165
PST_0196	16	38
PST_0198	84	481
PST_0199	264	316
PST_0200	98	119
PST_0201	142	720
PST_0204	405	157
PST_0205	35	324
PST_0206	3	64
PST_0212	454	174
PST_0213	281	377
PST_0215	387	54
PST_0216	45	392
PST_0217	37	149
PST_0218	216	326
PST_0219	175	776
PST_0220	60	238
PST_0221	79	188
PST_0222	1031	3761
PST_0223	32	157
PST_0224	1267	2433
PST_0225	1169	1668
PST_0226	202	476
PST_0227	373	896
PST_0228	578	2831
PST_0229	2	70
PST_0230	185	531
PST_0231	61	431
PST_0232	115	542
PST_0233	150	915
PST_0234	48	148
PST_0235	84	477
PST_0236	29	152
PST_0237	704	2240
PST_0238	33	113
PST_0239	28	129
PST_0242	66	127
PST_0243	16	63
PST_0244	0	0
PST_0245	0	0
PST_0246	423	1155
PST_0247	143	671
PST_0248	253	959
PST_0249	100	537
PST_0250	15	152
PST_0251	82	639
PST_0252	176	530
PST_0253	58	296
PST_0254	30	128
PST_0255	19	145
PST_0256	31	373
PST_0257	5	83
PST_0258	63	264
PST_0259	116	359
PST_0260	4	19
PST_0261	19	115
PST_0262	65	220
PST_0263	68	375
PST_0264	708	3145
PST_0266	910	263
PST_0267	1243	3033
PST_0268	66	478
PST_0269	309	2597
PST_0270	295	1510
PST_0271	189	791
PST_0272	954	3030
PST_0273	284	1141
PST_0277	4	1
PST_0278	185	518
PST_0279	46	450
PST_0280	28	218
PST_0282	28	535
PST_0283	153	1478
PST_0284	467	5935
PST_0285	387	1307
PST_0294	77	218
PST_0295	10	11
PST_0296	110	200
PST_0297	244	1690
PST_0298	2495	4599
PST_0299	396	919
PST_0300	44	263
PST_0301	955	334
PST_0302	135	126
PST_0303	85	321
PST_0304	85	118
PST_0305	100	124
PST_0306	70	251
PST_0307	141	168
PST_0308	292	250
PST_0309	78	106
PST_0310	41	202
PST_0311	90	263
PST_0312	256	1159
PST_0313	189	434
PST_0314	71	144
PST_0315	227	161
PST_0316	603	3134
PST_0317	352	623
PST_0320	697	2236
PST_0321	214	125
PST_0322	4	188
PST_0325	156	317
PST_0326	109	61
PST_0328	55	251
PST_0331	65	25
PST_0332	40	38
PST_0341	0	4
PST_0342	54	189
PST_0343	49	39
PST_0346	475	425
PST_0347	67	83
PST_0348	155	559
PST_0351	35	70
PST_0352	104	111
PST_0356	48	330
PST_0357	10	22
PST_0358	42	265
PST_0359	19	55
PST_0360	84	208
PST_0361	56	79
PST_0362	26	124
PST_0363	105	290
PST_0364	85	413
PST_0365	45	215
PST_0366	151	455
PST_0367	0	7
PST_0368	254	64
PST_0369	608	3637
PST_0370	65	167
PST_0371	535	696
PST_0372	390	1260
PST_0373	617	1211
PST_0374	154	534
PST_0375	14	51
PST_0376	0	0
