	N8	N9
PST_0006	0	2.76210116952728
PST_0007	8.64457075513184	2.96635855101383
PST_0008	7.71392324148207	0.981046814358007
PST_0012	64.4124359945072	62.0478966607981
PST_0013	77.055668008016	137.767525590909
PST_0014	4.9740585694211	2.64853442054806
PST_0015	5.4574310322802	6.81344444744472
PST_0016	2.04363374825812	1.61142157592422
PST_0017	35.2634005162721	7.94442105612987
PST_0022	60.7040968582592	96.1857538669164
PST_0023	2.75555534088902	2.28486517852187
PST_0024	18.0740726660463	17.2206241665468
PST_0028	194.374963724858	27.8224489551215
PST_0029	853.627820209915	87.400530940906
PST_0031	26.5244848832497	7.06401595652274
PST_0032	5.66591716160327	5.55497855995099
PST_0033	6.34138112905798	1.63896421289534
PST_0034	31.599316608936	5.55677711915171
PST_0035	6.18148623854312	4.76479543953664
PST_0040	2.3144767751357	4.65750990129702
PST_0041	0	11.2617559087134
PST_0045	26.8505606788186	176.002028147677
PST_0046	29.8953250121695	110.734674183899
PST_0047	2.97831895094982	4.31156766135731
PST_0048	1.64189378065182	0.573150747490851
PST_0049	6.94008570578985	1.45928350806239
PST_0050	21.4267138375063	12.9869216431456
PST_0051	36.5766151661925	23.1059810722209
PST_0052	14.5744337330072	20.1918684673624
PST_0055	43.9302045265098	67.2726869147949
PST_0056	33.375988875797	84.4219998870794
PST_0057	192.816590595579	115.774275848
PST_0058	82.1767837216237	32.6089060572442
PST_0059	2.49020556732193	5.61013437543986
PST_0060	8.3296074725751	7.22646882202238
PST_0061	30.8734669826137	30.8056485794242
PST_0062	46.9188172065528	77.5109867482287
PST_0063	25.4807216581397	90.7780681724593
PST_0064	102.994216493539	304.797586737941
PST_0065	36.8936794553088	108.115834652517
PST_0066	72.9392283484266	113.444997894087
PST_0072	59.2262036116594	60.2910207839803
PST_0073	2.39040418065486	6.92540626379949
PST_0074	52.7337649550526	27.8444169369258
PST_0075	125.999205450892	181.452783705633
PST_0081	32.2793625647	7.19085871278204
PST_0082	78.3711084943271	12.8308705152574
PST_0083	161.239893619011	32.2076657765265
PST_0085	76.4275072735671	84.1096003011385
PST_0086	71.9861140924579	83.3494294435531
PST_0087	225.329952416049	261.198190410576
PST_0088	71.9220862611613	158.699725131329
PST_0089	70.1201426179491	109.290077809088
PST_0090	64.5226655175235	102.319375876492
PST_0091	132.301358358308	238.503155873232
PST_0092	0.38014823021688	1.74854122189666
PST_0093	4.84871757098741	7.61110477917998
PST_0094	0	14.1391779510883
PST_0095	94.1877321260773	193.354671692322
PST_0098	12.7828782586941	18.1727533756669
PST_0099	4.44679565593202	7.08009746900463
PST_0100	6.37931286580323	2.57043280829599
