chr	locus_id	gene_names	dir	tss_bp	tss_pos_to_atg
DH10B	ECDH10B_0165	accA	+	182378	-347
DH10B	ECDH10B_3430	accB	+	3500940	-263
DH10B	ECDH10B_2478	accD	-	2523800	-87
DH10B	ECDH10B_4204	aceA	+	4314762	-66
DH10B	ECDH10B_0095	aceF	-	100210	-411
DH10B	ECDH10B_4205	aceK	+	4316067	-248
DH10B	ECDH10B_1166	acpP	+	1206026	-257
DH10B	ECDH10B_0419	acrA	-	424256	-82
DH10B	ECDH10B_1756	add	+	1791189	-29
DH10B	ECDH10B_1302	adhE	-	1337608	-23
DH10B	ECDH10B_1609	adhP	-	1642817	-360
DH10B	ECDH10B_0430	adk	+	435690	-40
DH10B	ECDH10B_3304	agaR	-	3374471	-39
DH10B	ECDH10B_0674	ahpC	+	690736	-24
DH10B	ECDH10B_2865	alaS	-	2912654	-79
DH10B	ECDH10B_0184	alaV	+	199498	-106
DH10B	ECDH10B_1541	aldA	+	1576829	-22
DH10B	ECDH10B_2218	alkA	-	2236591	-19
DH10B	ECDH10B_0462	allR	+	471538	-28
DH10B	ECDH10B_2987	amiC	-	3040937	-35
DH10B	ECDH10B_4345	ampC	-	4477580	-251
DH10B	ECDH10B_2068	amyA	+	2095164	-24
DH10B	ECDH10B_1774	anmK	-	1808362	-165
DH10B	ECDH10B_1905	ansA	+	1939430	-25
DH10B	ECDH10B_3132	ansB	-	3193842	-23
DH10B	ECDH10B_4244	aphA	+	4367075	-58
DH10B	ECDH10B_0425	apt	+	429865	-102
DH10B	ECDH10B_4559	arcA	-	4684993	-202
DH10B	ECDH10B_4447	argI	-	4578276	-134
DH10B	ECDH10B_2859	argQ	-	2908433	-9
DH10B	ECDH10B_3414	argR	+	3480443	-27
DH10B	ECDH10B_2017	argS	+	2048600	-57
DH10B	ECDH10B_2860	argZ	-	2908708	-9
DH10B	ECDH10B_2491	aroC	-	2537290	-30
DH10B	ECDH10B_0821	aroG	+	837406	-42
DH10B	ECDH10B_3565	aroK	-	3615147	-316
DH10B	ECDH10B_0345	aroL	+	344833	-127
DH10B	ECDH10B_0092	aroP	-	95781	-126
DH10B	ECDH10B_0933	artI	-	956139	0
DH10B	ECDH10B_3991	aslA	-	4083000	-50
DH10B	ECDH10B_3932	asnA	+	4022736	-26
DH10B	ECDH10B_3931	asnC	-	4022739	-129
DH10B	ECDH10B_1000	asnS	-	1042189	-53
DH10B	ECDH10B_0998	aspC	-	1038895	-35
DH10B	ECDH10B_2007	aspS	-	2039212	-95
DH10B	ECDH10B_3925	atpB	-	4017873	-215
DH10B	ECDH10B_3924	atpE	-	4016821	-25
DH10B	ECDH10B_3922	atpH	-	4016339	-329
DH10B	ECDH10B_3926	atpI	-	4018097	-50
DH10B	ECDH10B_3753	avtA	+	3835274	-31
DH10B	ECDH10B_2646	bcp	+	2690224	-41
DH10B	ECDH10B_0300	betI	-	304135	-27
DH10B	ECDH10B_0843	bioB	+	862452	-43
DH10B	ECDH10B_3730	bisC	-	3811994	-54
DH10B	ECDH10B_0357	brnQ	+	358036	-110
DH10B	ECDH10B_1847	btuC	-	1883772	-25
DH10B	ECDH10B_1845	btuD	-	1882309	-156
DH10B	ECDH10B_0033	carA	+	29555	-96
DH10B	ECDH10B_2131	cbl	-	2150097	-151
DH10B	ECDH10B_3231	cca	+	3297630	-28
DH10B	ECDH10B_2356	ccmC	-	2385356	-26
DH10B	ECDH10B_2354	ccmE	-	2384579	-189
DH10B	ECDH10B_1869	cedA	-	1902291	-12
DH10B	ECDH10B_1277	chaC	+	1311722	-249
DH10B	ECDH10B_2312	cirA	-	2335800	-20
DH10B	ECDH10B_0135	clcA	+	149115	-96
DH10B	ECDH10B_2175	cld	-	2187363	-30
DH10B	ECDH10B_2760	clpB	-	2823984	-24
DH10B	ECDH10B_0393	clpP	+	395201	-31
DH10B	ECDH10B_0441	copA	-	450158	-224
DH10B	ECDH10B_3206	cpdA	-	3272688	-88
DH10B	ECDH10B_4408	cpdB	-	4535014	-64
DH10B	ECDH10B_4103	cpxP	+	4203512	-28
DH10B	ECDH10B_4102	cpxR	-	4203505	-115
DH10B	ECDH10B_0222	crl	+	231914	-19
DH10B	ECDH10B_2582	crr	+	2625263	-358
DH10B	ECDH10B_2702	csiE	+	2755200	-22
