repressor,#all_hits,#tss_hits,#tss_hits/#all_hits,#all_hits,#tss_hits,#tss_hits/#all_hits,#all_hits,#tss_hits,#tss_hits/#all_hits,,
AmeR,39026,1023,0.026213294,23797,650,0.027314367,14015,397,0.028326793,2.02118E-06,20.21176791
McbR,888,20,0.022522523,500,14,0.028,254,4,0.015748031,6.20001E-05,620.00124
PsrA,940,14,0.014893617,566,6,0.010600707,353,4,0.011331445,3.21004E-05,321.0041008
SrpR,17394,415,0.023858802,10332,232,0.02245451,5907,118,0.019976299,3.3818E-06,33.81801135
AmtR,1652,34,0.020581114,1652,34,0.020581114,1048,17,0.016221374,1.54784E-05,154.7841035
ButR,1198,32,0.026711185,685,16,0.023357664,419,12,0.028639618,6.83523E-05,683.5231059
QacR,1728,42,0.024305556,1051,26,0.024738344,636,18,0.028301887,4.44998E-05,444.99822
TarA,16746,376,0.022453123,9779,209,0.021372328,5643,134,0.023746234,4.20809E-06,42.08086882
ScbR,2480,61,0.024596774,1403,42,0.029935852,838,34,0.040572792,4.84162E-05,484.1622
Orf2,994,26,0.026156942,674,20,0.029673591,403,8,0.019851117,4.92584E-05,492.5835391
LitR,2785,106,0.038061041,1671,66,0.039497307,984,22,0.022357724,2.27213E-05,227.212638
