gene_name	N6	N7
AZC_0001	0	0
AZC_0002	2	0
AZC_0003	0	0
AZC_0004	0	0
AZC_0005	0	0
AZC_0006	2	0
AZC_0007	0	0
AZC_0008	42	21
AZC_0009	27	9
AZC_0010	0	16
AZC_0011	38	0
AZC_0013	33	46
AZC_0014	40	9
AZC_0017	16	23
AZC_0019	10	2
AZC_0022	0	0
AZC_0023	0	0
AZC_0024	0	0
AZC_0025	0	0
AZC_0026	10	0
AZC_0027	32	83
AZC_0029	13	9
AZC_0030	0	2
AZC_0031	114	42
AZC_0032	0	0
AZC_0033	3	20
AZC_0034	19	0
AZC_0035	137	47
AZC_0036	74	83
AZC_0037	10	2
AZC_0038	1	0
AZC_0040	8	22
AZC_0044	0	0
AZC_0045	0	7
AZC_0046	25	7
AZC_0047	39	96
AZC_0048	0	0
AZC_0049	1	6
AZC_0051	50	29
AZC_0052	15	3
AZC_0053	18	18
AZC_0054	3	7
AZC_0055	22	2
AZC_0056	58	32
AZC_0057	56	21
AZC_0058	15	13
AZC_0059	6	0
AZC_0060	0	0
AZC_0061	9	19
AZC_0062	14	10
AZC_0063	60	39
AZC_0065	0	11
AZC_0066	2	2
AZC_0067	0	0
AZC_0068	0	0
AZC_0069	0	0
AZC_0070	0	0
AZC_0071	0	4
AZC_0072	0	2
AZC_0073	0	0
AZC_0075	24	33
AZC_0076	93	72
AZC_0077	310	796
AZC_0078	2	20
AZC_0080	0	9
AZC_0081	0	17
AZC_0086	0	0
AZC_0087	9	5
AZC_0088	8	11
AZC_0089	0	0
AZC_0090	11	17
AZC_0091	4	19
AZC_0092	3	10
AZC_0093	0	0
AZC_0094	0	0
AZC_0095	12	0
AZC_0097	91	108
AZC_0098	1	0
AZC_0099	8	8
AZC_0100	0	0
AZC_0102	9	12
AZC_0103	6	0
AZC_0104	0	15
AZC_0105	31	5
AZC_0106	40	9
AZC_0107	40	8
AZC_0109	20	25
AZC_0110	48	138
AZC_0111	82	205
AZC_0112	6	26
AZC_0113	18	28
AZC_0114	0	8
AZC_0115	4	0
AZC_0117	0	3
AZC_0118	0	10
AZC_0119	0	0
AZC_0120	0	0
AZC_0121	0	0
AZC_0122	0	0
AZC_0123	0	0
AZC_0124	0	0
AZC_0125	0	0
AZC_0126	0	0
AZC_0128	0	0
AZC_0129	13	10
AZC_0130	8	0
AZC_0131	23	0
AZC_0132	0	13
AZC_0133	8	10
AZC_0134	16	8
AZC_0135	5	39
AZC_0136	199	126
AZC_0137	0	0
AZC_0138	0	0
AZC_0139	0	11
AZC_0140	13	0
AZC_0141	0	0
AZC_0142	9	7
AZC_0143	0	0
AZC_0144	52	5
AZC_0145	1	0
AZC_0146	7	0
AZC_0148	16	30
AZC_0149	16	6
AZC_0150	149	98
AZC_0151	0	21
AZC_0152	135	79
AZC_0153	46	69
AZC_0154	15	14
AZC_0155	9	0
AZC_0156	21	12
AZC_0157	22	28
AZC_0158	0	15
AZC_0159	7	7
AZC_0160	7	0
AZC_0161	3	12
AZC_0162	8	20
AZC_0163	30	46
AZC_0164	227	154
AZC_0165	0	0
AZC_0166	12	0
AZC_0167	0	0
AZC_0168	0	0
AZC_0169	12	10
AZC_0172	7	3
AZC_0173	0	0
AZC_0174	7	21
AZC_0175	0	8
AZC_0176	6	9
AZC_0177	8	8
AZC_0178	3	34
AZC_0179	0	2
AZC_0180	5	5
AZC_0181	5	0
AZC_0182	0	0
AZC_0184	6	0
AZC_0185	0	0
AZC_0186	0	0
AZC_0187	14	4
AZC_0188	295	454
AZC_0189	83	101
AZC_0190	32	37
AZC_0191	90	106
AZC_0192	2	0
AZC_0193	1	6
AZC_0194	0	0
AZC_0195	0	0
AZC_0196	0	0
AZC_0197	3	0
AZC_0198	0	0
AZC_0199	0	0
AZC_0200	0	0
AZC_0201	0	0
AZC_0202	0	0
AZC_0203	0	0
AZC_0205	4	3
AZC_0206	0	0
AZC_0208	13	6
AZC_0209	0	0
AZC_0210	0	11
AZC_0211	30	20
AZC_0212	79	18
AZC_0213	10	6
AZC_0214	157	105
AZC_0215	0	0
AZC_0216	0	0
AZC_0217	0	0
AZC_0218	17	33
AZC_0219	0	10
AZC_0220	8	14
AZC_0222	64	71
AZC_0223	4	0
AZC_0224	9	8
AZC_0225	18	1
AZC_0227	0	0
AZC_0230	90	99
AZC_0231	0	0
AZC_0232	21	0
AZC_0233	6	4
AZC_0234	21	18
AZC_0235	3	25
AZC_0236	56	33
AZC_0237	16	18
AZC_0238	0	10
AZC_0239	0	0
AZC_0240	0	0
AZC_0242	4	22
AZC_0243	0	0
AZC_0244	7	8
AZC_0245	0	0
AZC_0247	14	17
AZC_0248	1	0
AZC_0249	0	17
AZC_0250	0	3
AZC_0251	0	0
AZC_0252	1	1
AZC_0253	0	0
AZC_0254	0	0
AZC_0255	9	22
AZC_0256	0	0
AZC_0259	61	44
AZC_0260	5	0
AZC_0261	11	5
AZC_0262	13	54
AZC_0264	39	0
AZC_0265	0	9
AZC_0266	0	0
AZC_0267	50	34
AZC_0268	0	0
AZC_0269	0	0
AZC_0270	12	0
AZC_0272	2	17
AZC_0273	11	2
AZC_0274	14	22
AZC_0275	3	0
AZC_0276	117	46
AZC_0277	28	0
AZC_0278	15	16
AZC_0279	0	7
AZC_0280	16	10
AZC_0282	10	0
AZC_0283	0	0
AZC_0284	0	0
AZC_0285	17	22
AZC_0287	14	8
AZC_0288	9	11
AZC_0289	26	5
AZC_0290	0	0
AZC_0292	2	8
AZC_0293	0	0
AZC_0294	147	81
AZC_0295	93	103
AZC_0296	11	1
AZC_0297	59	0
AZC_0298	1	0
AZC_0299	0	24
AZC_0300	0	0
AZC_0301	1107	1295
AZC_0302	5	0
AZC_0303	0	9
AZC_0304	32	17
AZC_0305	218	242
AZC_0306	560	711
AZC_0308	19	22
AZC_0309	17	31
AZC_0311	37	2
AZC_0313	0	0
AZC_0315	2	0
AZC_0316	19	2
AZC_0317	6	10
AZC_0318	54	61
AZC_0319	25	4
AZC_0320	1744	2726
AZC_0321	471	316
AZC_0322	4	5
AZC_0323	29	49
AZC_0324	3	3
AZC_0325	0	0
AZC_0326	9	16
AZC_0327	21	10
AZC_0328	0	10
AZC_0329	0	4
AZC_0330	51	146
AZC_0331	69	6
AZC_0332	0	0
AZC_0333	7	7
AZC_0334	644	912
AZC_0335	2	42
AZC_0336	8	0
AZC_0337	15	55
AZC_0338	39	56
AZC_0339	12	29
