gene_name	EcoliMG1655_LBWB_1	EcoliMG1655_LBWB_2	EcoliMG1655_synnifI4_1	EcoliMG1655_synnifI4_2	N1	N2
CmR	0	0	0	0	10970	179230
aaaD_locusTag_b4634	0	0	0	0	0	1
aaaE_locusTag_b4693	22	0	33	0	0	10
aaeA_locusTag_b3241	0	10	38	15	0	61
aaeB_locusTag_b3240	46	14	212	56	21	47
aaeR_locusTag_b3243	359	110	480	214	30	283
aaeX_locusTag_b3242	4	0	10	0	0	58
aas_locusTag_b2836	498	130	1170	502	2	129
aat_locusTag_b0885	286	104	371	207	10	56
abgA_locusTag_b1338	54	37	132	52	6	9
abgB_locusTag_b1337	77	8	46	35	0	0
abgR_locusTag_b1339	929	435	1099	552	11	163
abgT_locusTag_b1336	51	5	100	19	0	24
abrB_locusTag_b0715	105	32	43	25	0	62
accA_locusTag_b0185	1678	462	2494	980	78	671
accB_locusTag_b3255	718	373	1359	777	28	251
accC_locusTag_b3256	1330	421	2238	1059	23	159
accD_locusTag_b2316	2065	869	2429	1044	103	661
aceA_locusTag_b4015	3577	1406	20231	7029	24	449
aceB_locusTag_b4014	4073	1601	20743	10677	52	637
aceE_locusTag_b0114	1680	741	20236	3763	65	240
aceF_locusTag_b0115	1629	537	17325	3496	15	233
aceK_locusTag_b4016	1162	466	5256	1551	31	42
ackA_locusTag_b2296	6188	2139	4945	1997	408	4355
acnA_locusTag_b1276	629	281	5000	1740	12	203
acnB_locusTag_b0118	2256	894	5783	1686	44	462
acpH_locusTag_b0404	124	139	340	188	0	18
acpP_locusTag_b1094	8913	2769	16015	6103	123	2250
acpS_locusTag_b2563	79	66	90	39	1	59
acpT_locusTag_b3475	284	83	660	284	4	81
acrA_locusTag_b0463	1191	321	2339	1050	87	921
acrB_locusTag_b0462	3154	1305	5535	2436	191	1845
acrD_locusTag_b2470	394	99	495	264	7	147
acrE_locusTag_b3265	9	0	21	0	0	0
acrF_locusTag_b3266	212	57	265	165	16	82
acrR_locusTag_b0464	114	28	86	20	8	52
acrS_locusTag_b3264	0	0	0	0	0	5
acrZ_locusTag_b0762	171	54	169	117	0	32
acs_locusTag_b4069	5	0	19	0	0	0
actP_locusTag_b4067	0	0	33	0	0	25
acuI_locusTag_b3253	167	100	785	317	32	143
ada_locusTag_b2213	123	17	480	176	7	113
add_locusTag_b1623	129	8	56	6	21	147
ade_locusTag_b3665	20	20	83	15	0	11
adhE_locusTag_b1241	37904	13817	35788	19464	521	9687
adhP_locusTag_b1478	499	251	2514	1026	4	66
adiA_locusTag_b4117	46	10	42	40	0	12
adiC_locusTag_b4115	21	19	40	15	0	32
adiY_locusTag_b4116	31	18	10	0	0	132
adk_locusTag_b0474	1454	640	1694	1124	26	745
aegA_locusTag_b2468	183	96	278	126	1	151
aer_locusTag_b3072	12	14	269	88	2	24
aes_locusTag_b0476	27	20	70	50	15	33
afuB_locusTag_b0263	41	0	0	0	0	6
afuC_locusTag_b0262	71	14	37	48	11	79
agaA_locusTag_b3135	48	7	44	42	11	10
agaB_locusTag_b3138	0	0	15	5	0	8
agaC_locusTag_b3139	0	0	6	0	15	0
agaD_locusTag_b3140	0	0	0	0	0	0
agaI_locusTag_b3141	12	0	0	6	0	0
agaR_locusTag_b3131	1649	410	1602	589	63	630
agaS_locusTag_b3136	3	0	0	0	0	0
agaV_locusTag_b3133	0	0	0	0	0	0
agaW_locusTag_b3134	0	0	0	0	0	0
agp_locusTag_b1002	102	51	467	234	3	32
agrA_locusTag_b4712	37	17	32	0	0	2
agrB_locusTag_b4713	17	0	0	0	0	6
ahpC_locusTag_b0605	3666	1461	7991	2247	179	1620
ahpF_locusTag_b0606	1397	532	1962	1036	80	759
ahr_locusTag_b4269	106	44	1325	532	6	90
aidB_locusTag_b4187	535	270	6142	3365	0	65
ais_locusTag_b2252	6	0	34	0	0	10
alaA_locusTag_b2290	465	117	984	280	20	584
alaC_locusTag_b2379	556	315	936	188	74	445
alaE_locusTag_b2670	892	517	252	189	26	151
alaS_locusTag_b2697	9873	3561	10968	5487	175	1549
alaT_locusTag_b3853	32	11	0	0	0	0
alaU_locusTag_b3276	0	0	0	0	0	3
alaV_locusTag_b0203	43	29	3	0	0	7
alaW_locusTag_b2397	0	0	0	0	0	0
alaX_locusTag_b2396	0	0	0	0	0	0
aldA_locusTag_b1415	146	45	146	69	0	19
aldB_locusTag_b3588	100	37	642	266	0	11
alkA_locusTag_b2068	116	41	436	397	14	94
alkB_locusTag_b2212	18	4	106	35	0	11
allA_locusTag_b0505	15	0	0	0	0	11
allB_locusTag_b0512	24	0	40	0	1	11
allC_locusTag_b0516	26	0	32	9	0	36
allD_locusTag_b0517	0	0	0	0	0	0
allE_locusTag_b0515	46	0	85	0	7	63
allR_locusTag_b0506	857	372	1311	744	112	707
allS_locusTag_b0504	13	7	5	16	0	0
alpA_locusTag_b2624	13	0	31	0	0	0
alr_locusTag_b4053	558	235	733	287	0	105
alsA_locusTag_b4087	0	6	11	3	3	12
alsB_locusTag_b4088	37	0	42	0	0	19
alsC_locusTag_b4086	13	0	0	0	0	11
alsE_locusTag_b4085	6	0	4	0	0	2
alsK_locusTag_b4084	36	0	66	0	8	14
alsR_locusTag_b4089	250	97	317	70	0	65
alx_locusTag_b3088	104	50	142	129	0	67
amiA_locusTag_b2435	441	152	473	294	32	262
amiB_locusTag_b4169	437	88	714	435	27	172
amiC_locusTag_b2817	899	279	629	508	39	199
amiD_locusTag_b0867	372	151	834	358	22	233
amn_locusTag_b1982	713	212	1261	559	15	219
ampC_locusTag_b4150	73	34	128	76	0	23
ampD_locusTag_b0110	153	46	250	152	5	47
ampE_locusTag_b0111	156	52	296	324	0	73
ampG_locusTag_b0433	571	126	389	90	0	29
ampH_locusTag_b0376	285	39	319	125	0	112
amtB_locusTag_b0451	12919	5388	31977	16118	10335	68916
amyA_locusTag_b1927	256	79	1943	1252	3	121
anmK_locusTag_b1640	356	90	489	145	5	177
ansA_locusTag_b1767	254	57	285	147	0	87
ansB_locusTag_b2957	173	25	318	122	0	109
ansP_locusTag_b1453	66	83	97	62	3	16
apaG_locusTag_b0050	440	122	388	277	0	88
apaH_locusTag_b0049	919	340	1261	708	12	126
apbE_locusTag_b2214	45	39	143	18	0	69
aphA_locusTag_b4055	100	36	80	45	0	52
appA_locusTag_b0980	255	122	1243	560	5	71
appY_locusTag_b0564	225	46	178	199	0	132
apt_locusTag_b0469	491	263	435	207	12	87
aqpZ_locusTag_b0875	41	26	198	63	0	57
araA_locusTag_b0062	6	0	0	10	0	30
araB_locusTag_b0063	22	14	33	0	0	7
araC_locusTag_b0064	145	52	251	106	8	143
araD_locusTag_b0061	0	0	0	40	0	3
araE_locusTag_b2841	146	64	253	61	5	91
araF_locusTag_b1901	29	0	19	24	0	30
araG_locusTag_b1900	18	0	74	43	0	22
araH_locusTag_b4460	47	54	61	49	0	32
araJ_locusTag_b0396	192	86	316	198	0	89
arcA_locusTag_b4401	1335	564	5141	2157	78	407
arcB_locusTag_b3210	1202	553	1718	1036	27	433
arcZ_locusTag_b4450	0	0	28	0	0	4
arfA_locusTag_b4550	119	42	99	142	8	162
arfB_locusTag_b0191	130	34	303	104	16	74
argA_locusTag_b2818	2118	845	735	521	29	403
argB_locusTag_b3959	960	257	209	243	0	84
argC_locusTag_b3958	1882	590	467	285	0	338
argD_locusTag_b3359	1669	596	812	574	32	382
argE_locusTag_b3957	671	295	952	424	36	445
argF_locusTag_b0273	1035	434	202	255	31	184
argG_locusTag_b3172	1758	882	1431	815	26	939
argH_locusTag_b3960	2506	1024	1114	622	36	286
argI_locusTag_b4254	574	147	46	26	7	56
argK_locusTag_b2918	0	0	15	3	0	4
argO_locusTag_b2923	157	95	290	212	10	125
argP_locusTag_b2916	458	236	691	261	52	401
argQ_locusTag_b2691	750	237	266	133	7	31
argR_locusTag_b3237	228	97	379	187	4	182
argS_locusTag_b1876	1147	559	1198	529	27	379
argT_locusTag_b2310	5436	2353	6967	3905	1416	7896
argU_locusTag_b0536	176	16	45	31	0	14
argV_locusTag_b2694	71	52	87	25	0	34
argW_locusTag_b2348	38	0	0	24	0	0
argX_locusTag_b3796	9	0	55	13	0	7
argY_locusTag_b2693	438	229	315	227	0	34
argZ_locusTag_b2692	429	181	216	130	0	23
ariR_locusTag_b1166	0	0	0	0	0	0
arnA_locusTag_b2255	353	144	1621	673	4	110
arnB_locusTag_b2253	102	13	853	325	4	155
arnC_locusTag_b2254	60	5	518	110	7	55
arnD_locusTag_b2256	74	25	366	205	2	58
arnE_locusTag_b4544	0	0	31	20	0	1
arnF_locusTag_b2258	12	0	23	15	0	11
arnT_locusTag_b2257	73	19	286	156	0	29
aroA_locusTag_b0908	1625	649	2933	1382	17	402
aroB_locusTag_b3389	1725	618	2953	1440	86	1190
aroC_locusTag_b2329	891	310	1157	413	42	292
aroD_locusTag_b1693	96	51	174	87	0	116
aroE_locusTag_b3281	430	281	425	442	53	223
aroF_locusTag_b2601	705	368	1462	1095	434	17895
aroG_locusTag_b0754	6832	2662	6703	2810	143	2385
aroH_locusTag_b1704	469	213	590	502	150	838
aroK_locusTag_b3390	1113	609	1936	1108	30	593
aroL_locusTag_b0388	664	355	1395	1205	123	2621
aroM_locusTag_b0390	261	143	848	421	32	569
aroP_locusTag_b0112	589	286	1969	814	260	3016
arpA_locusTag_b4017	34	0	0	12	0	0
arpB_locusTag_b4494	51	10	18	0	0	13
arrS_locusTag_b4704	0	14	462	171	0	4
arsB_locusTag_b3502	13	16	27	0	3	10
arsC_locusTag_b3503	29	4	69	0	0	0
arsR_locusTag_b3501	20	0	6	0	5	12
artI_locusTag_b0863	856	387	559	350	9	116
artJ_locusTag_b0860	1222	459	267	84	0	168
artM_locusTag_b0861	554	383	818	540	0	40
artP_locusTag_b0864	543	282	538	202	0	79
artQ_locusTag_b0862	559	408	418	329	3	77
ascB_locusTag_b2716	121	11	65	85	0	47
ascF_locusTag_b2715	119	26	102	68	6	58
ascG_locusTag_b2714	109	104	93	49	12	73
asd_locusTag_b3433	6239	3114	8949	4848	259	3721
aslA_locusTag_b3801	103	37	98	73	0	11
aslB_locusTag_b3800	55	19	140	43	0	20
asmA_locusTag_b2064	1088	513	1968	752	47	450
asnA_locusTag_b3744	531	209	518	285	1996	15386
asnB_locusTag_b0674	6192	3258	8892	5072	2193	71008
asnC_locusTag_b3743	86	12	78	38	14	17
asnS_locusTag_b0930	2461	986	3719	2315	84	1264
asnT_locusTag_b1977	8	27	13	0	0	3
asnU_locusTag_b1986	20	0	10	0	0	0
asnV_locusTag_b1989	0	0	0	0	0	0
asnW_locusTag_b1984	31	0	0	11	0	10
aspA_locusTag_b4139	764	370	399	168	17	84
aspC_locusTag_b0928	3598	1528	5092	1798	307	2883
aspS_locusTag_b1866	2163	1086	3000	1414	192	2511
aspT_locusTag_b3760	1	0	0	0	0	9
aspU_locusTag_b0206	0	0	0	0	0	4
aspV_locusTag_b0216	45	17	5	0	0	0
asr_locusTag_b1597	64	12	131	29	2	77
astA_locusTag_b1747	651	533	2280	433	210	1103
astB_locusTag_b1745	778	218	2357	757	185	753
astC_locusTag_b1748	955	656	3685	740	679	1701
astD_locusTag_b1746	986	420	2739	927	178	1039
astE_locusTag_b1744	470	238	1098	294	9	215
atoA_locusTag_b2222	9	0	0	0	0	0
atoB_locusTag_b2224	14	18	75	22	0	1
