Sample,GFP,GFP2,RFP,RFP2
A1,6535,-, 1977,-
A1,6535,-, 1977,-
A3,98.1,-, 2490,-
A5,2091,-, 2181,-
A9,2255,-, 2198,-
A10,2507,-, 1628,-
B3,525,-, 1770,-
B6,1001,-, 1557,-
B7,1506,-, 2086,-
B9,1837,-, 2256,-
B10,4851,-, 2070,-
B11,2204,-, 2103,-
C1,2535,-, 2499,-
C2,3787,-, 2660,-
C3,352,-, 2471,-
C4,203,-, 2528,-
C6,83.3,-, 3105,-
C7,120,-, 2243,-
C8,4191,-, 2311,-
C10,178,-, 2134,-
C11,282,-, 1745,-
C12,6108,-, 2391,-
D1,646,-, 2413,-
D2,2061,-, 2573,-
D3,89.7,-, 2725,-
D4,94.2,-, 2827,-
D5,976,-, 2596,-
D7,2312,15400,1793,2355
D8,2732,583,1945,1908
D9,16500,-, 2878,-
D10,2039,-, 2113,-
D11,1154,-, 2147,-
D12,112,-, 2148,-
E1,107,-, 2157,-
E2,89.5,-, 2744,-
E3,300,-, 2431,-
E4,1597,-, 2465,-
E5,119,-, 2000,-
E6,937,-, 2189,-
E7,848,-, 1578,-
E8,500,-, 1464,-
E9,981,-, 1776,-
E10,2703,-, 1489,-
E11,1363,-, 1858,-
F1,1377,-, 2427,-
F2,1968,-, 2461,-
F3,172,-, 2442,-
F4,139,-, 2846,-
F5,63.8,1377,2097,1427
F8,71.2,2416,1895,1984
F9,1231,-, 2582,-
F11,494,-, 2132,-
G1,786,-, 2375,-
G2,1776,-, 2436,-
G4,281,-, 2351,-
G5,1661,-, 1661,-
G6,1335,-, 2166,-
G8,2718,1128,2592,2485
G9,1944,795,2348,2279
G10,1880,-, 2142,-
G11,1743,-, 1654,-
H2,3249,-, 2477,-
H3,1743,-, 2505,-
H6,2303,-, 2283,-
H7,3229,1150,2726,2668
H8,2546,899,2293,2239
H9,791,-, 1712,-
H10,1150,-, 1475,-
