Sample,GFP,GFP2,RFP,RFP2
A1,3235,1121,2075,2051
A2,2269,-, 1868,-
A3,91.8,-, 2173,-
A4,102,-, 2379,-
A5,1999,-, 1972,-
A6,942,-, 1691,-
A7,4397,-, 2135,-
A9,10500,2706,2464,2160
A10,2813,-, 1951,-
A11,900,-, 1842,-
A12,173,-, 1828,-
B1,125,-, 2001,-
B2,91,-, 2106,-
B3,543,-, 2031,-
B4,2904,-, 2004,-
B5,190,-, 2185,-
B6,1355,-, 1905,-
B7,1821,-, 2220,-
B8,1091,-, 1877,-
B9,1874,-, 2088,-
B11,2345,-, 1967,-
B12,3755,-, 2897,-
C1,2239,-, 1892,-
C2,3075,-, 2158,-
C3,330,-, 1941,-
C4,240,-, 2148,-
C5,93.4,-, 2067,-
C6,80.8,-, 2941,-
C7,140,-, 1914,-
C8,5126,-, 2129,-
C9,85.2,-, 1920,-
C10,250,-, 2018,-
C11,1423,-, 1939,-
C12,22700,-, 2569,-
D1,2138,727,2212,2153
D2,9709,1592,2300,2013
D3,84.1,-, 1958,-
D4,86.7,-, 1962,-
D5,1133,-, 1914,-
D6,2882,-, 2440,-
D7,2584,-, 1822,-
D8,2976,-, 1887,-
D9,1471,-, 1908,-
D10,1612,-, 1654,-
D11,596,-, 1998,-
D12,133,-, 1918,-
E1,110,-, 2105,-
E2,87.5,-, 2166,-
E3,356,-, 2017,-
E4,1761,-, 1923,-
E5,118,-, 1887,-
E6,900,-, 2012,-
E7,1021,-, 1918,-
E8,587,-, 1634,-
E9,1123,-, 1869,-
E10,3372,-, 1806,-
E11,1285,-, 1815,-
E12,3786,-, 1936,-
F1,2765,-, 2281,-
F2,2036,-, 2282,-
F3,829,-, 2125,-
F4,159,-, 2028,-
F5,86.1,-, 2227,-
F6,211,-, 2003,-
F7,106,-, 2134,-
F8,3404,-, 1930,-
F9,79.1,-, 1876,-
F10,226,-, 1673,-
F11,331,-, 1649,-
F12,4538,-, 1847,-
G1,993,-, 1843,-
G2,2229,-, 2108,-
G3,480,-, 2202,-
G4,2743,-, 1846,-
G5,1897,-, 1782,-
G6,1595,-, 2088,-
G7,2680,-, 1820,-
G9,1807,-, 1710,-
G10,1976,-, 1677,-
G11,2069,-, 1588,-
H1,2944,-, 1883,-
H2,30100,3498,2791,1994
H3,1834,-, 1952,-
H4,2265,-, 1825,-
H5,1523,-, 1781,-
H6,2107,-, 1712,-
H7,19100,-, 2280,-
H9,1014,-, 1715,-
H10,1383,-, 1772,-
H12,681,-, 1644,-
