	Koxym5a1_1	Koxym5a1_2	Koxym5a1_synnifI4_1	Koxym5a1_synnifI4_2
KOXM_00015	0.62219664179076	3.27375026180656	3.84126470269625	0.993839040589755
KOXM_00020	2.87352651957472	0	1.91317323167348	0.382491997908134
KOXM_00025	8.73417906345132	4.86545705446882	14.3142238177016	10.9701470002447
KOXM_00030	3.77264263986448	1.70753883941189	3.27294924757364	2.84564342629752
KOXM_00035	1.46363186405504	0	7.65406241361708	0
KOXM_00042	0	0	0	0
KOXM_00047	0	0	0	0
KOXM_00052	0	0	0	0
KOXM_00057	0	0	0	0
KOXM_00062	0	0	0	0
KOXM_00067	0	0	0	0
KOXM_00072	3.31930797741053	5.74650661595048	9.56314858275421	2.65097690514455
KOXM_00077	40.1446951123476	19.7693880031625	13.9629241664548	8.1283185410972
KOXM_00092	134.05158523662	110.16975157003	69.3769679923638	121.364431745012
KOXM_00097	66.8439951313017	61.917734571864	88.3212609763959	55.3840876182843
KOXM_00102	10.8430727262077	10.3061530419399	14.8510072108654	14.5155713206137
KOXM_00107	9.79374310754246	11.2628137258856	6.48431074048863	15.5371951085748
KOXM_00127	4.91007066847142	2.85730850604419	122.612089265235	84.902398290382
KOXM_00132	1.99604023339586	1.8633231085277	50.2584421372381	74.1277193127131
KOXM_00137	1.2819396326551	6.09230721691031	53.2794755388064	76.9006756483923
KOXM_00142	0	8.98737987064344	59.6123515774688	100.085784449659
KOXM_00147	4.1411518259947	4.21724268107281	34.9998420803824	39.6881443702856
KOXM_00152	5.2732268577302	13.8429729670289	71.5793226697487	133.457154759479
KOXM_00157	0	10.9242453251825	0	0.428363445808749
KOXM_00162	17.0391142840407	1.05164826958571	0.750050869235625	11.5464771868518
KOXM_00167	23.287763741893	15.2389786989023	26.628221048184	51.3896041264952
KOXM_00172	97.5630670693702	77.1876444216558	375.073056895224	118.973225254092
KOXM_00177	15.0714524379721	1.36430045784092	0	0
KOXM_00192	17.6266699490076	48.9560401358864	51.8311014464894	48.8023518537874
KOXM_00197	28.3674191804402	17.4345544451799	32.2431506196712	31.1615769862025
KOXM_00202	30.1235203712009	69.9565897144345	52.20932867271	33.0960117804112
KOXM_00207	40.7410951747922	33.8832428776108	32.8789422130685	20.607411339352
KOXM_00212	49.9956456735489	47.4725237681323	45.708429147149	33.5070184374383
KOXM_00217	0	10.2729430965846	6.18989348927084	8.3342993228404
KOXM_00222	0.788189032091829	3.56742875901866	0	5.03591937881876
KOXM_00227	15.7388500885101	2.57922495314451	7.62095481734299	26.8735527435383
KOXM_00232	0	0	4.94151160908176	36.2242421548292
KOXM_00237	18.7733883745637	17.7766989888774	30.5004074400134	18.4129868760428
KOXM_00252	12.7363076466567	12.1523800041015	7.50050869235625	10.6300901085302
KOXM_00257	1091.44800212913	589.847349626466	846.662802724073	396.766839399571
KOXM_00262	48.3652175970652	48.7638071411781	15.2049147083882	59.9584058080072
KOXM_00267	476.730726920326	373.025827388342	428.587890809109	708.507364860436
KOXM_00272	94.3609784089914	91.2313608485781	37.3181455736635	75.756288861433
KOXM_00277	42.4557167098852	43.0117919489729	42.8194721087888	20.8480771522531
KOXM_00292	0	1.9795732133378	20.7072867428188	17.5946319037742
KOXM_00297	46.0574901873972	36.3595080000821	38.768535685245	52.4670656050121
KOXM_00302	2715.06543618075	2015.09378107713	1506.8763914837	2269.28183900855
KOXM_00307	214.909277047029	182.26649187395	152.928179968535	160.792038476786
KOXM_00312	18.6994308092684	7.5567540329512	14.8752603527448	5.68928217247788
KOXM_00317	256.540740526966	216.29131563082	283.250998458889	550.560501624722
KOXM_00322	248.322908259559	194.565140050731	355.65518886862	385.886150200251
KOXM_00327	42.7313210885033	26.1098880724727	51.727646154181	10.9208060092391
KOXM_00337	3.29891632430698	0.689134702254116	1.10587704952147	0
KOXM_00342	0	0	0	4.12374185244707
KOXM_00347	0	0	4.6197823450265	0
KOXM_00352	26.4414661009043	42.3472227217977	15.5390477954712	8.66361814106814
KOXM_00357	0	0	0	0
KOXM_00362	0	0	0	0
KOXM_00367	0	0	0	0
KOXM_00372	0.285971148823061	0	0.692354648525192	0
KOXM_00381	0	0	1.83541859765894	4.03641555439525
KOXM_00396	5.1277585306204	10.661537629593	6.05213460003918	0
KOXM_00401	2.81333778842146	2.45574082411365	4.93006409184065	3.85179779515056
KOXM_00406	2.72575351627683	3.80392530913283	0.806572014167841	1.29003411107102
KOXM_00411	0	0	2.18196616504909	0
KOXM_00416	0	3.20147791803083	1.64612934133128	2.91946325836961
KOXM_00421	48.1104403314091	0	31.0609301142282	0
KOXM_00426	0	4.43137286115504	2.61086409443851	2.4175830096789
KOXM_00431	0	0	0	0
KOXM_00436	0	0	0	0
KOXM_00441	13.9293288692549	21.0862134053641	6.83590665632468	0.200445173587301
KOXM_00466	295.36359572936	287.592033209273	185.957565965353	312.345070952322
KOXM_00471	64.7142118262556	25.9873972395402	30.402061899684	15.248680983271
KOXM_00486	96.3253266662513	23.205325399336	44.600039746787	41.1241694944931
KOXM_00491	16.952369702231	25.8453078733384	18.577259929228	25.3362699414348
KOXM_00496	23.0295349937155	22.1125335268641	22.4617003671978	25.2241625523134
KOXM_00501	46.8744013505626	36.7619655976917	35.2197799467163	37.8667077929053
KOXM_00506	102.362001626665	131.499252120251	76.3613432898515	80.6219776960612
KOXM_00511	107.352785785578	86.7134419765794	64.6071214486796	42.2994232755119
KOXM_00516	137.594853904981	126.197792350285	159.528060739494	106.022825006363
KOXM_00531	5.46709549220558	3.71169977500838	2.9119621982089	0
KOXM_00536	0	0	0	0
KOXM_00541	5.17643978249338	0	0	6.01335520761902
KOXM_00546	0	0	6.91811625271447	0
KOXM_00551	24.1435415791489	28.5015369476088	15.7038114140447	25.9016289536579
KOXM_00556	0	6.52747201811819	3.72439052310103	0
KOXM_00561	152.127078917841	161.575416147227	63.569164883836	115.616608388608
KOXM_00566	12.966550544869	5.57164646138123	13.9877036275995	6.64168224182204
KOXM_00571	7.35698408130064	9.35192061206322	14.0220036185523	4.33383564787701
KOXM_00576	11.6377824042776	9.87634896654404	6.10476185743082	0
KOXM_00581	9.41170869544251	21.725189569163	29.1665350669853	28.0623243022221
KOXM_00586	28.7154477714743	43.5164801207879	19.9875624739755	42.3181232858017
KOXM_00591	171.079591902389	119.18680388638	110.840850675931	162.017235447254
KOXM_00596	25.638792653102	8.70329602415758	36.00244172331	29.5771829416894
KOXM_00601	139.32720475992	125.515642121365	201.743412179269	117.693821518489
KOXM_00606	13.1210291812934	27.6619309547993	15.9391615059855	18.629610251055
KOXM_00611	67.2649403652516	77.9884198769027	65.723881922949	63.2267527765123
KOXM_00616	17.9097259627873	35.1265874571109	27.5055150878816	57.0220187246404
KOXM_00621	28.8700591458248	36.3537241304075	26.0841985587539	45.3414809147152
KOXM_00636	10.4232474804667	7.7841628926344	10.5988496662081	8.13957270314787
KOXM_00641	5.26389371284926	10.4234164773097	6.15970979336867	12.3785242154871
KOXM_00646	1545.97664296935	707.336007911888	1095.75896282356	845.965963423168
KOXM_00651	1094.38110889507	569.692891181286	1276.739651045	595.524428824683
KOXM_00656	2352.3986702185	1216.15841735721	2152.11518947571	1471.14807796961
KOXM_00661	3.83980040203734	6.75424804128286	9.71896900981373	2.23030545259109
KOXM_00666	6.5773364229304	26.5986116184447	22.7092324716263	37.1517419814309
KOXM_00671	35.3070524524561	32.8537269470574	30.7730367802594	21.6738342725263
KOXM_00676	315.309670387501	430.007292452823	148.676750079595	325.500690219822
KOXM_00681	141.051063698904	257.097071082247	101.124505428709	167.278375379265
KOXM_00686	45.0323624165522	55.5270286341254	31.383260521074	27.9356278245773
KOXM_00691	45.730076630378	21.219097828809	51.7734228321936	10.5100677301306
KOXM_00696	24.4514928590993	23.037449341797	12.3229834086497	0
KOXM_00701	24.7841662313319	19.3869072306235	52.177451772913	53.931371705047
KOXM_00706	37.5014060468259	39.2942397172316	30.8592357628371	24.4683364959192
KOXM_00711	17.658718439824	0	13.0508851246999	38.5982237389046
KOXM_00722	27.7068273435173	29.5255212291233	27.511299807435	13.0714836077568
KOXM_00727	8.29684534782786	7.36605139898659	8.03487969790609	1.69905243705974
KOXM_00732	1.07757244484052	14.1439071619643	4.34812098107609	4.20741197698948
KOXM_00737	4.87210105402252	4.74589988325858	6.05169248340538	6.54159391294168
KOXM_00742	14.369078761195	21.4161527833498	11.1431815097311	20.3219326719485
KOXM_00747	132.454527338746	106.820159731793	134.461451973721	122.015917139992
KOXM_00752	36.4748106800734	17.7788084820527	21.850538530185	40.0858830637874
KOXM_00757	5.83920146811486	0	0.471236148210864	0
KOXM_00762	5.3381281113638	31.3229392295066	14.9548604081441	30.452247525763
KOXM_00767	607.639385878518	452.861503123666	420.02848677195	337.634919118977
KOXM_00772	202.546461959506	238.470311061918	60.8317118773169	167.907392392052
KOXM_00777	131.578860048363	223.752939695224	90.7140174882277	85.1807530509966
KOXM_00782	60.150336022109	66.3601874381274	29.5300926494565	33.8054163544425
KOXM_00787	95.7874532724451	81.1758772415346	65.3557838490717	63.8399819751807
KOXM_00792	119.923384990316	117.404655851039	59.5782342066388	104.716438266011
KOXM_00797	229.12708781211	209.333807392473	154.590076297641	177.095356223294
KOXM_00802	2895.04159471812	2713.73176765398	2588.52998719495	2106.67877440253
KOXM_00807	258.796982169198	254.834189383667	261.582958221537	274.438008499086
KOXM_00812	7.15987024460701	11.4045412346183	9.067281619204	4.10541411088064
KOXM_00817	18.7516565621221	14.6552274987428	12.4583229423771	11.3771740022939
KOXM_00822	12.50789697656	26.1830933661339	13.9635638459567	7.39961154831625
KOXM_00827	9.98764907829795	15.0683931164519	13.8636268128567	16.3078603167817
KOXM_00832	25.8129429428212	23.2394425158261	17.525716914366	15.2376151770422
KOXM_00837	463.692047294564	278.585586795022	290.956971500306	281.090808646802
KOXM_00852	40.61270937067	59.8113906601351	23.9007806398444	0
KOXM_00857	10.7067598119354	8.07665871041824	7.77652741223496	15.8351687133968
KOXM_00862	41.0341620150826	46.4312632232181	50.4373829802975	28.0103220166216
KOXM_00867	27.2353475069582	17.196182693885	42.9919267465167	11.8908776052979
KOXM_00872	36.4131005334232	25.9057051745453	19.2153794534968	27.6302797198565
KOXM_00877	32.4521955625728	61.6347228937303	50.9205805589357	96.2358319598699
KOXM_00882	120.571619503777	61.9619791269417	154.632108933226	61.8784182832058
KOXM_00887	44.0491693943421	71.9009270701624	29.9516111815772	83.8332461297476
KOXM_00892	0	0	0	0
KOXM_00897	30.3693304524772	14.2194695605955	11.6627628117765	16.7272908944332
KOXM_00902	0	0	0	0
KOXM_00907	12.4426630467503	4.12074424000931	23.3648499347195	12.6035016290301
KOXM_00912	0.559041343563878	4.1749645589568	0.902316835170676	2.18279267979153
KOXM_00917	0	0	2.01783596679319	0
KOXM_00922	0	0	5.96490158729396	0
KOXM_00937	0	0	2.14140917313368	1.76600394573198
KOXM_00942	0	0	0	0
KOXM_00947	0	0	0	3.77027826509447
KOXM_00952	0	0	0	0
KOXM_00957	3.0404367495686	0	0.26767614664171	0
KOXM_00962	66.0911099502185	58.2590525258663	18.4528643958184	39.4460295907195
KOXM_00967	44.4077937405235	26.9682953515677	3.05774162581537	20.8243314587136
KOXM_00982	3.83980040203734	21.5661955002365	9.46543068781859	5.20404605604589
KOXM_00987	0	32.7047799893696	14.7052226757182	7.80606908406883
KOXM_00992	397.49382528977	390.114619239947	291.994325654022	294.850169037133
KOXM_00997	6132.66938595034	2717.56562463677	2675.57386528548	4791.64187460443
KOXM_01012	12.1591492225144	10.1527547229177	19.8284124528756	13.5432363996157
KOXM_01017	6.29809400702082	8.19543310321851	7.62404648258329	13.2270232782491
KOXM_01022	6.27069266093941	8.3118224680509	11.1332851915457	12.4010357394071
KOXM_01037	13.5722815076342	6.0094186833469	0	0
KOXM_01042	0	6.78958882820247	3.78973070771684	0
KOXM_01047	0	0	0	1.29091049293995
KOXM_01054	0	0	5.71879940731278	2.57250033250128
KOXM_01059	8.18712906967595	6.80617307057717	3.0743658100804	7.11692975883001
KOXM_01064	36.4813661816335	53.5456053523639	21.0294636234287	51.7972808382137
KOXM_01069	33.2989718077405	22.5039826031592	341.323762432035	194.458462421161
KOXM_01074	18.3263201006328	6.75424804128286	106.232556915964	25.9273008863715
KOXM_01079	6.25394848828002	0	43.9095200457192	12.5793396321376
KOXM_01084	0.669842330576539	2.04645068676138	35.6780954014784	9.62949448787641
KOXM_01089	0	3.77599693646522	60.5237898261943	27.4310009208448
KOXM_01094	0	0	0	0
KOXM_01099	1.34879816224936	8.69934895113076	11.1027938194335	3.59074120485187
KOXM_01104	8.04398377683581	11.2175815422476	8.10581290261658	4.1671496614202
KOXM_01109	12.0186230765637	10.5107202395854	13.0200611163751	6.07376334212479
KOXM_01114	4.29929414216983	8.15563964168508	10.5925551328786	8.07916771091672
KOXM_01129	19.7130544087828	8.1464857309694	4.87641141497282	11.4086229923608
KOXM_01144	39.2805653477714	41.2722339761938	22.19018420682	42.8246701054126
KOXM_01149	2.10126626743901	1.31684652887254	1.33052502020928	6.5406131642291
KOXM_01154	0	0	1.90741413103629	0
KOXM_01159	9.69815200356467	0	0	0
KOXM_01164	15.2644202616813	17.216387565668	10.1331375711303	18.6141883882644
KOXM_01169	16.2646090893116	28.3945032788141	23.8516176416929	1.9793960891746
KOXM_01174	31.1657180154474	25.6929637120341	22.2050987874307	1.89642739082596
KOXM_01179	96.2669193616999	205.104622514568	121.271382646939	107.512461264641
KOXM_01184	81.3858431650495	65.4864219763641	33.407671148657	39.5879217834919
KOXM_01189	329.939212954606	220.057400410809	109.132401473783	209.073711919067
KOXM_01194	343.457849080788	163.483503726506	104.32525726641	87.2733730226981
KOXM_01199	56.1632608160655	80.3766196771772	65.6696898386556	98.2052308620529
KOXM_01204	8.26138874377732	24.4147362978329	8.00054260518	0
KOXM_01209	49.8437120874565	60.0140612510244	33.602278941756	31.0838496966677
KOXM_01214	14.5925464726534	48.5920471479602	45.4236414266061	67.3364650896778
KOXM_01229	116.229193360729	152.017570555286	132.422774154703	192.024172329122
KOXM_01234	12.5792747035159	15.0979836165296	23.8203466386855	31.335454704758
KOXM_01239	0	3.19188795640065	3.62553862787431	0
KOXM_01244	7.58103908252507	0	1.69423255168518	4.03641555439525
KOXM_01249	19.1457684137039	8.07665871041824	22.6815382856853	24.544511505765
KOXM_01254	0	8.41318615668566	0.473716338464605	6.2507244921303
KOXM_01259	52.412417112161	31.1701651050977	37.8714209384545	31.8001338916574
KOXM_01264	26.2420583625868	48.252097075109	20.6484592236631	4.65740256276375
KOXM_01269	0	10.9954512146783	38.141200637566	68.9848934048968
KOXM_01274	26.2669795955997	9.92324521044976	17.8473642730938	8.57174374799255
KOXM_01279	14.9801103019844	13.6430045784092	22.8221866452432	8.75408589806947
KOXM_01284	21.3032440078303	5.10462980293287	38.2273117174471	4.89288920919563
KOXM_01289	2.88187979434092	4.17398382967351	0.651206956235581	1.84129868760427
KOXM_01294	21.2762534724357	27.4917036873852	45.1969114557245	50.6725398828697
KOXM_01299	0	0	0	0
KOXM_01304	0	0	0	0
KOXM_01309	0	0	0	0
KOXM_01314	0	0	1.79197673735932	8.59828165433309
KOXM_01319	5.78297212064412	0	0	0
KOXM_01324	0	0	8.25619904181169	2.976535472443
KOXM_01329	0	2.11741262332693	1.69138987961859	4.64958812893361
KOXM_01334	0	3.66380687468569	1.01619795186762	0
KOXM_01349	1.0442766670505	3.97026762450335	4.95539225966907	7.11692975883001
KOXM_01354	16.286737809161	4.64728378178827	14.1723897577474	9.55137160490599
KOXM_01359	52.204945891529	81.2677981943679	27.0656654090132	85.914213232259
KOXM_01364	4.66027057341284	0	1.84627906273385	0
KOXM_01369	57.5827775211652	56.7890065576282	48.8185283150317	49.0545987317182
KOXM_01374	41.0895387519451	57.3626328864932	55.8123976954662	62.1284131339012
KOXM_01379	9.22347452153366	33.4823509830629	17.6822118843598	48.5077320081268
KOXM_01384	29.0389587173975	54.017710259235	65.6696898386556	44.1753633635532
KOXM_01389	16.4397484549539	51.240108652779	73.633134579835	42.1740674276396
KOXM_01394	0	1.86959692370793	0.761956438588571	0
KOXM_01399	0	0	0	0
KOXM_01404	0	3.0779949353728	0	0
KOXM_01409	0	3.40308653528858	0	13.3442432978063
KOXM_01414	22.8776919058449	0	18.8320464398852	14.6170788123662
KOXM_01419	0	0	0	0
KOXM_01424	0	0	0	0
KOXM_01429	0	0.389299102365918	1.43454459308819	0.915915928152769
KOXM_01434	0	10.4439552289891	0	0
KOXM_01439	9.75876545358696	5.67890065576282	6.30042730157925	24.7424511146824
KOXM_01444	9.94248529047619	14.0871954251481	5.86086260612023	19.5637985557954
KOXM_01449	21.6244318910825	9.65337694472299	18.216374895858	5.6779489410586
KOXM_01454	2.34039342136064	0	3.31257333047404	0
KOXM_01459	0	0	0	0
KOXM_01464	0	0	0	0
KOXM_01469	0	0	0	0
KOXM_01474	0	0	0	0
KOXM_01479	0	0.539097365379858	0	0
KOXM_01484	0	0	0	0
KOXM_01489	0	0	0	0
KOXM_01494	0	0	0	0
KOXM_01499	0	0	0	0
KOXM_01504	0	0	1.33962573854177	0
KOXM_01509	0	0	0	0
KOXM_01514	0	0	0	0
KOXM_01519	0	0	0	0
KOXM_01524	0	0	0	0
KOXM_01529	0	0	0	0
KOXM_01534	0	0	0.433764358112169	0
KOXM_01539	0	0	0	0
KOXM_01544	0	0	0	0
KOXM_01549	0	0	0	0
KOXM_01554	0	0	1.24398680751274	0
KOXM_01559	0	0	0	0
KOXM_01564	0	1.5250488501545	1.19645576723991	5.74084666346711
KOXM_01569	0	0	0	0
KOXM_01576	0	0	0	0
KOXM_01581	9.78322351236787	5.82451349309008	18.2927386084024	9.4562242316843
KOXM_01586	24.423481899483	12.698488876827	12.7992048538171	11.1932585500102
KOXM_01591	331.89231301088	378.22758634839	358.459093679912	854.869615324681
KOXM_01596	3.58485261560337	0	0.835770968576839	1.27246891446938
KOXM_01601	7.83803792967453	1.92160620855485	0.527122133577013	0.463694545048222
KOXM_01606	10.0685675314786	4.46950514573926	0	0
KOXM_01611	6.38966785651527	3.04226820844437	3.77704187722225	5.74378329447985
KOXM_01616	25.003495136034	21.6658156778365	10.6732902454061	8.40805418410448
KOXM_01621	0	14.4226048400326	28.0304724845771	15.8351687133968
KOXM_01626	132.422376549965	123.458615462062	97.2624103920429	135.795778210815
KOXM_01631	67.8517337808596	96.5447591750814	100.1379390009	131.959739278306
KOXM_01636	11.3244574933932	11.4160464464565	21.4352999183399	16.0787866936029
KOXM_01641	53.5448964475418	140.889475638826	68.5121092495824	153.181622721944
KOXM_01646	29.9596832972866	63.5443001481435	24.4604824649547	27.9444153765825
KOXM_01651	16.7972422298728	12.5778530581679	12.6786007397703	12.6260481435722
KOXM_01656	16.0945957538832	30.779949353728	9.87871876554237	18.5870120568834
