Sample,GFP,GFP2,RFP,RFP2
A1,6544,-, 2141,-
A2,3135,-, 2138,-
A3,10900,-, 2227,-
A4,7271,-, 2277,-
A5,3259,-, 2121,-
A6,6068,-, 2050,-
A7,273,-, 1827,-
A8,289,-, 1649,-
A9,206,-, 1850,-
A10,123,-, 1880,-
A11,179,-, 1763,-
A12,66.3,-, 2148,-
B1,220,-, 2106,-
B2,168,-, 2217,-
B3,78.8,-, 2252,-
B6,394,-, 2020,-
B7,421,-, 1757,-
B8,373,-, 1867,-
B9,357,-, 1779,-
B10,288,-, 1770,-
B11,661,-, 1688,-
C1,384,-, 1998,-
C2,193,-, 2135,-
C3,6696,-, 2267,-
C4,1363,-, 2161,-
C5,1429,-, 2080,-
C6,1915,-, 1962,-
C7,122,-, 1917,-
C8,1580,-, 1842,-
C9,1460,-, 1980,-
C10,105,-, 1772,-
C11,3956,-, 1944,-
C12,90.4,-, 1884,-
D1,6726,-, 2248,-
D2,70.3,-, 4532,-
D3,885,-, 2179,-
D4,1250,-, 2120,-
D5,3819,-, 2074,-
D6,607,-, 1980,-
D7,470,-, 1849,-
D8,1239,400,1903,1855
D9,4122,-, 1880,-
D10,2199,-, 1817,-
D11,2360,-, 1835,-
D12,4322,-, 1986,-
E1,3425,-, 2458,-
E2,751,-, 2076,-
E3,281,-, 2519,-
E4,2751,-, 2664,-
E5,3572,-, 2159,-
E6,4336,-, 1927,-
E7,1081,-, 1987,-
E8,1187,-, 1972,-
