15	2	1137
15	3	2533
15	5	86
15	6	97
15	7	2162
15	8	1108
15	9	4379
15	11	2529
15	12	2968
15	13	1007
15	14	198
15	15	132
15	16	87
15	17	614
15	18	3233
15	19	188
15	20	1461
15	21	1726
15	22	1192
15	23	1830
15	24	36072
15	25	2406
15	26	4292
9	20	2423
17	20	2857
23	20	419
12	20	260
36	14	432
3	7	165
22	7	5143
22	25	88
22	6	266
3	22	402
22	22	8011
36	22	736
21	20	8092
23	12	95
9	12	96
23	6	1266
26	8	1590
4	7	2903
26	22	3375
21	16	1703
21	22	1933
10	19	620
33	19	137
10	7	109
5	3	87
19	5	406
5	25	1958
6	22	140
11	22	897
33	12	1235
11	7	771
17	19	1205
17	9	3702
30	5	1465
12	5	3786
29	22	1246
33	22	1766
33	15	220.946166
20	7	149.8518316
5	12	79.25611008
33	7	255.4481127
17	22	96.50609569
3	18	3294.08181
9	7	76.58221892
35	7	216.7693835
28	7	443.0314137
24	3	4925.653252
5	24	1179.470264
28	3	2276.534802
22	23	437.0087799
25	16	2978.93036
3	10	2255.832667
36	13	1584.790937
8	9	2952.090354
3	13	2373.193168
8	19	2519.156718
8	18	2548.043443
3	14	3005.969888
36	16	3255.339082
24	16	1898.269038
8	16	2541.093482
7	12	1813.606871
4	12	2709.776688
9	19	3134.21588
14	18	1223.075144
9	23	1673.227697
9	16	834.9434157
16	13	6213
20	13	2771
16	12	7962
21	12	6062
20	19	2915
16	10	5407
17	13	284
12	9	321
17	10	210
13	19	119
12	16	210
15	16	64
17	16	209
12	23	228
29	19	68
28	19	377
28	18	438
28	13	376
28	12	379
28	10	300
30	18	710
29	16	58
28	9	390
28	23	177
10	11	5707
6	6	1363
11	15	1325
6	11	1889
13	2	119
6	2	1561
6	15	1377
13	12	111
10	17	3721
13	17	88
7	17	5933
7	25	3246.926268
11	21	785
11	17	1139
25	6	3309
27	11	574
27	15	487
27	6	408
26	15	4054
18	15	2229
26	21	2410
26	17	3888
25	17	2786
35	25	751
27	25	239
18	6	1923
