Sample,GFP,GFP2,RFP,RFP2
A1,982,-, 1665,-
A2,2577,-, 1979,-
A3,85.2,-, 1992,-
A4,104,-, 1938,-
A5,2188,-, 1929,-
A6,994,-, 1825,-
A7,4430,-, 1933,-
A9,2590,-, 1831,-
A10,2949,-, 1956,-
A11,981,-, 1916,-
A12,177,-, 1728,-
B1,135,-, 1976,-
B3,633,-, 1846,-
B4,3621,-, 2054,-
B5,220,-, 2195,-
B6,1318,-, 1779,-
B7,1427,-, 1595,-
B8,1004,-, 1665,-
B9,1999,-, 2170,-
B10,75700,-, 4239,-
B11,2255,-, 1880,-
B12,5517,-, 1862,-
C1,2478,-, 2024,-
C2,108,-, 2169,-
C3,496,-, 2014,-
C4,266,-, 1811,-
C5,103,-, 1938,-
C6,376,-, 1759,-
C7,140,-, 1537,-
C8,5218,-, 1931,-
C9,78.7,-, 1840,-
C10,282,-, 1488,-
C11,345,-, 1733,-
C12,7508,-, 1893,-
D1,788,-, 1956,-
D2,8566,-, 2241,-
D3,106,-, 2063,-
D4,105,-, 2063,-
D5,1312,-, 1970,-
D6,717,-, 1783,-
D7,2561,-, 1746,-
D8,3043,-, 1713,-
D9,1509,-, 1639,-
D10,1606,-, 1697,-
D11,561,-, 1764,-
D12,120,-, 1796,-
E1,140,-, 2500,-
E2,94.2,-, 2064,-
E3,479,-, 2111,-
E4,1989,-, 1932,-
E5,182,-, 2367,-
E6,7487,-, 2293,-
E7,1397,-, 2011,-
E8,643,-, 1579,-
E9,30000,-, 2774,-
E10,3273,-, 1806,-
E11,1460,-, 1951,-
E12,3162,-, 1749,-
F1,1331,-, 2158,-
F2,2049,-, 2375,-
F3,232,-, 2121,-
F4,168,-, 2381,-
F5,86.5,-, 2157,-
F6,315,-, 2123,-
F7,95.7,-, 2069,-
F8,3276,-, 2168,-
F9,79,-, 2325,-
F10,191,-, 2371,-
F11,561,229,2343,2203
F12,17500,-, 3022,-
G1,1470,-, 2322,-
G2,2673,-, 2219,-
G5,2653,-, 2254,-
G6,1343,-, 1656,-
G7,82800,-, 4270,-
G9,1876,-, 1442,-
G10,2027,-, 1530,-
G11,1991,6138,1619,1755
H1,3456,-, 2426,-
H2,4206,-, 2125,-
H3,2074,-, 2190,-
H4,2467,-, 1921,-
H5,2072,-, 2188,-
H6,2755,-, 1885,-
H7,2419,-, 1559,-
H9,1053,-, 1687,-
H10,1399,-, 1586,-
H12,667,-, 1605,-
