Sample,GFP,GFP2,RFP,RFP2
A1,7934,-, 2264,-
B2,189,-, 2331,-
B3,105,-, 2425,-
B10,601,-, 1799,-
B11,583,-, 1719,-
C4,85,-, 2464,-
C9,1246,-, 1707,-
C11,3950,-, 1899,-
D2,4750,-, 2229,-
D3,1112,-, 2328,-
D4,1367,-, 2320,-
D5,4767,-, 2303,-
D6,2776,-, 1823,-
D7,468,-, 1854,-
D8,433,-, 1711,-
D9,3960,-, 1726,-
D10,1752,-, 1711,-
D11,2702,-, 1709,-
E1,5290,-, 2748,-
E2,668,-, 2340,-
E3,96.8,-, 4517,-
E4,2377,-, 2328,-
E5,2970,-, 1867,-
E6,5249,-, 2068,-
E7,1258,-, 1881,-
E8,1241,-, 1819,-
F12,70.9,-, 1874,-
G12,69,-, 30100,-
H12,89.1,-, 2907,-
