Sample,GFP,GFP2,RFP,RFP2
A1,440,-, 20500,-
A1,440,-, 20500,-
A2,90,-, 17100,-
A3,878,-, 10100,-
A4,68.8,-, 19200,-
A5,212,-, 17000,-
A6,565,-, 10200,-
A7,728,-, 9082,-
A8,63.4,-, 22700,-
A9,71,-, 29100,-
A10,56.7,-, 20800,-
A11,856,-, 4702,-
A12,202,-, 7005,-
B1,219,-, 11000,-
B2,828,-, 11600,-
B3,75.7,-, 18300,-
B4,155,-, 12800,-
B5,611,-, 11900,-
B6,433,-, 11000,-
B7,71.2,-, 27900,-
B8,369,-, 8789,-
B9,163,-, 8066,-
B10,643,-, 7564,-
B11,423,-, 7018,-
B12,1296,-, 42600,-
C1,861,-, 16000,-
C2,724,-, 15100,-
C3,526,-, 12700,-
C4,2011,-, 66300,-
C5,322,-, 11500,-
C6,212,-, 9796,-
C7,91.5,-, 16100,-
C12,60.9,-, 14300,-
D1,212,-, 9277,-
D2,74.4,-, 26900,-
D3,411,-, 10500,-
D4,666,-, 14100,-
D5,1547,-, 60200,-
D6,717,-, 10200,-
D7,725,-, 11800,-
D8,478,-, 8923,-
D9,511,-, 8953,-
D10,323,-, 7352,-
D11,1038,-, 6300,-
