Sample,GFP,GFP2,RFP,RFP2
A1,2376,-, 2019,-
A2,2552,-, 2186,-
A3,86.4,-, 2123,-
A4,108,-, 2134,-
A5,2223,-, 1991,-
A6,879,-, 1872,-
A8,4587,-, 2149,-
A10,3069,-, 1800,-
A11,848,-, 1789,-
B2,111,-, 1967,-
B3,459,-, 2860,-
B4,3495,-, 2025,-
B5,161,-, 1841,-
B6,1242,-, 1852,-
B7,1430,-, 1772,-
B8,901,-, 1633,-
B10,16000,-, 2063,-
B11,1941,-, 1582,-
C1,2471,-, 2210,-
C2,2852,-, 1930,-
C4,249,-, 1922,-
C6,338,-, 1954,-
C7,136,-, 1744,-
C8,5112,-, 1795,-
C9,79.2,-, 1704,-
C10,218,-, 1628,-
C11,321,-, 1496,-
C12,7573,-, 1774,-
D1,710,-, 1802,-
D2,5056,-, 2019,-
D3,85.7,-, 2058,-
D5,1319,-, 2187,-
D6,578,-, 1810,-
D7,2772,-, 2161,-
D9,1404,-, 1667,-
D10,3875,-, 1779,-
D11,524,-, 1682,-
D12,114,-, 1601,-
E1,110,-, 1837,-
E2,92.7,-, 1822,-
E3,397,-, 2134,-
E4,2057,-, 2171,-
E5,1267,305,1820,1857
E6,825,-, 1825,-
E7,1041,-, 2003,-
E8,632,-, 1709,-
E9,1045,-, 1635,-
E10,6220,-, 1688,-
E11,1301,-, 1502,-
F1,1447,-, 1867,-
F2,1862,-, 1872,-
F3,256,-, 2197,-
F5,82.1,-, 1875,-
F6,71.3,-, 2950,-
F7,92,-, 1766,-
F8,3467,-, 2163,-
F10,137,-, 1830,-
F11,226,-, 1735,-
F12,n/a,-, n/a,-
F12,n/a,-, n/a,-
G1,991,-, 1840,-
G2,1949,-, 1849,-
G3,486,-, 2097,-
G4,1402,-, 2178,-
G5,2098,-, 1855,-
G6,1409,-, 2043,-
G7,2709,-, 1763,-
G9,1854,-, 1744,-
G10,2017,-, 1839,-
G11,2139,-, 1867,-
G12,3449,-, 1995,-
H1,2731,-, 1875,-
H2,3583,-, 1945,-
H3,1810,-, 1947,-
H4,79.6,-, 1838,-
H5,1535,-, 1687,-
H6,2252,-, 1722,-
H7,2726,-, 1752,-
H8,3061,-, 2003,-
H9,1032,-, 1656,-
H10,1338,-, 1606,-
H11,916,-, 1503,-
H12,676,-, 1518,-
