Sample,GFP,GFP2,RFP,RFP2
A1,6414,-, 2333,-
A1,6414,-, 2333,-
A2,2652,-, 2347,-
A3,8904,-, 3409,-
A4,6449,-, 2595,-
A5,2763,-, 2313,-
A6,5265,-, 2492,-
A7,250,-, 2151,-
A8,232,-, 1844,-
A9,206,-, 2422,-
A10,99,-, 2157,-
B1,176,-, 1930,-
B2,303,-, 2241,-
B3,71.4,-, 2500,-
B6,304,-, 1923,-
B7,355,-, 2072,-
B8,335,-, 2191,-
B9,343,-, 2221,-
B10,245,-, 2063,-
B11,495,-, 1800,-
B12,60.9,-, 2321,-
C1,360,-, 2094,-
C2,167,-, 2209,-
C3,5877,-, 2460,-
C4,67.4,-, 2511,-
C5,1293,-, 2337,-
C6,1532,-, 1933,-
C7,103,-, 2139,-
C8,1375,-, 2264,-
C9,1257,-, 2273,-
C10,95.7,-, 2143,-
C11,3324,-, 2283,-
C12,88.4,-, 2563,-
D1,5881,-, 2300,-
D2,3305,-, 2260,-
D3,726,-, 2211,-
D4,1036,-, 2172,-
D5,2902,-, 2294,-
D6,456,-, 1968,-
D7,403,-, 1999,-
D8,335,-, 1956,-
D9,3576,-, 2222,-
D10,1595,-, 1811,-
D11,2237,-, 2300,-
D12,3398,-, 2304,-
E1,2693,-, 2223,-
E2,262,-, 2117,-
E3,238,-, 2144,-
E4,1672,-, 2172,-
E5,6196,-, 2335,-
E6,4021,-, 2244,-
E7,851,-, 1931,-
E8,965,-, 1958,-
