Sample,GFP,GFP2,RFP,RFP2
A1,1017,-, 1760,-
A3,89.7,-, 2235,-
A4,1680,-, 2819,-
A5,2005,-, 1808,-
A10,2974,-, 1730,-
B3,616,-, 1996,-
B6,1164,-, 1787,-
B7,71.9,-, 1685,-
B8,76.3,-, 2574,-
B9,1485,-, 1627,-
B10,5201,-, 1703,-
B11,1926,-, 1597,-
C1,2150,11200,1975,2259
C2,2810,-, 2011,-
C3,350,-, 1984,-
C4,221,-, 1805,-
C6,1342,-, 2101,-
C7,117,-, 1665,-
C8,4649,-, 1712,-
C10,205,-, 1600,-
C11,298,-, 1500,-
C12,7432,-, 1788,-
D1,697,-, 1908,-
D2,7705,-, 2635,-
D3,80.6,-, 1973,-
D4,80.7,-, 1890,-
D5,1202,-, 1807,-
D7,2445,-, 1725,-
D8,2962,-, 1785,-
D9,5272,-, 1727,-
D10,1880,-, 1595,-
D11,1334,-, 1571,-
D12,106,-, 1515,-
E1,108,-, 2029,-
E2,94.5,-, 2026,-
E3,379,-, 1864,-
E4,1790,-, 1758,-
E5,125,-, 1938,-
E6,740,-, 1638,-
E7,943,-, 1657,-
E8,545,-, 1580,-
E9,975,-, 1591,-
E10,3052,-, 1560,-
E11,1254,-, 1549,-
F1,1369,-, 1938,-
F2,1802,-, 1979,-
F3,207,-, 1847,-
F4,164,-, 1882,-
F5,82.5,-, 1790,-
F6,385,-, 1755,-
F7,94.5,-, 1753,-
F11,471,-, 1542,-
F12,n/a,-, n/a,-
F12,n/a,-, n/a,-
G1,979,-, 1874,-
G2,2095,-, 1939,-
G3,167,-, 2529,-
G4,148,-, 2522,-
G5,1770,-, 1673,-
G6,1252,-, 1651,-
G7,2880,-, 1921,-
G8,2178,-, 1276,-
G9,1690,-, 1570,-
G10,1828,-, 1533,-
G11,1995,-, 1802,-
H2,3514,-, 2008,-
H3,1726,-, 1939,-
H6,2058,-, 1693,-
H8,2522,-, 1632,-
H9,881,-, 1557,-
H10,1194,-, 1471,-
