	EcoliMG1655_LBWB_1	EcoliMG1655_LBWB_2	EcoliMG1655_synnifI4_1	EcoliMG1655_synnifI4_2	N1	N2
CmR	0	0	0	0	11052.116948354	19578.136049407
aaaD_locusTag_b4634	0	0	0	0	0	0.233316844108727
aaaE_locusTag_b4693	0.678077674806185	0	0.650573328582803	0	0	0.635757538179864
aaeA_locusTag_b3241	0	0.882354183288076	0.910536421296246	0.759831381033363	0	4.71360042294254
aaeB_locusTag_b3240	0.816963318287829	0.585635688115287	2.40827532609532	1.34483976952003	7.09540158044605	1.72177872306455
aaeR_locusTag_b3243	13.492154930579	9.73720535815648	11.5386143438967	10.8752296200633	21.4496932570166	21.9385570610493
aaeX_locusTag_b3242	0.685329842451171	0	1.0958855534951	0	0	20.4975709809637
aas_locusTag_b2836	8.05833673082168	4.95466383754679	12.1095353661208	10.9839254508973	0.615685639784736	4.30566792732313
aat_locusTag_b0885	14.1790369957344	12.1441973209658	11.7646811674784	13.8767843451872	9.43178001372362	5.72668747582611
abgA_locusTag_b1338	1.43966314730017	2.32339807485032	2.25095394237345	1.8745984887981	3.04320590831815	0.494930696770686
abgB_locusTag_b1337	1.86119660532901	0.455455852286459	0.711188799031672	1.14395084129297	0	0
abgR_locusTag_b1339	35.7208389499384	39.3958038568077	27.0289502256751	28.7000600318503	8.04658459916685	12.9279092268694
abgT_locusTag_b1336	1.16734965305533	0.269560069747143	1.46405142706614	0.588060724364917	0	1.13312227630014
abrB_locusTag_b0715	3.50519704520155	2.51609995188623	0.9181574092893	1.12849837393207	0	4.26923027644221
accA_locusTag_b0185	61.0928721430066	39.6182543009992	58.0791946213563	48.2461267315309	54.0264148911106	50.3913345215201
accB_locusTag_b3255	53.2811213819044	65.19473396431	64.5050801080183	77.9664431985431	39.5293710129308	38.4200023614199
accC_locusTag_b3256	34.4340171951577	25.6727812382425	37.0613882384661	37.0740304462159	11.3286157720392	8.49117767993027
accD_locusTag_b2316	78.8803413745848	78.1849702364761	59.3474126694727	53.9246102993304	74.8512246662886	52.0816744178835
aceA_locusTag_b4015	95.802810091065	88.695053864286	346.57897081095	254.560281338724	12.228790638483	24.8050668724053
aceB_locusTag_b4014	88.8631528486171	82.2722572575186	289.47057574122	314.988241297901	21.5835864733526	28.6669502974114
aceE_locusTag_b0114	22.0416895274836	22.898581519473	169.818820283313	66.7586596399157	16.2241486159491	6.49503647113483
aceF_locusTag_b0115	30.0773998843111	23.3533003309654	204.60582734906	87.2827499225367	5.26894208373625	8.87380497902589
aceK_locusTag_b4016	23.3817024313997	22.0856757110894	67.6473685498402	42.2006937002457	11.8671014507732	1.74322740520614
ackA_locusTag_b2296	179.785431687016	146.375957854001	91.8958793561747	78.4548954820029	225.515976986489	260.991945580127
acnA_locusTag_b1276	8.21550673243315	8.64459803046281	41.7714224426382	30.730579486726	2.98179592362114	5.4690828402123
acnB_locusTag_b0118	30.350773807953	28.3284599302906	49.7633277827512	30.6708656904788	11.2615017715822	12.8205719904825
acpH_locusTag_b0404	7.44677993756221	19.6614891697733	13.0602443282508	15.2666052186456	0	2.2297393246267
acpP_locusTag_b1094	1314.45396276005	961.831957121742	1510.6851714775	1217.03378534759	345.0956978439	684.445299015158
acpS_locusTag_b2563	7.24722817647183	14.260788949741	5.28096030503148	4.83779255672108	1.74525063246067	11.1643028476278
acpT_locusTag_b3475	16.8814922416033	11.6205145577628	25.0935426739081	22.8269887409492	4.52340470045929	9.93144097142402
acrA_locusTag_b0463	34.8640033168564	22.1322362994553	43.794670616709	41.5616310680812	48.4504377840652	55.6108939263471
acrB_locusTag_b0462	34.996205230997	34.1055101960364	39.282800440427	36.5489025362128	40.3186138967605	42.2270156859066
acrD_locusTag_b2470	4.42229218182846	2.61722571765478	3.55370980064016	4.00675630753778	1.49472814283	3.40332402374782
acrE_locusTag_b3265	0.271646284702148	0	0.405420873158289	0	0	0
acrF_locusTag_b3266	2.38640459149181	1.5112553243621	1.90800557236537	2.51148130871027	3.42642443010636	1.90395561868822
acrR_locusTag_b0464	6.14893164199245	3.5571945500336	2.96700866520339	1.45868863889738	8.20914186379648	5.78539359743676
acrS_locusTag_b3264	0	0	0	0	0	0.543702148036174
acrZ_locusTag_b0762	39.8450770401111	29.6365123082799	25.1878335615313	36.8639792822146	0	15.3802463636473
acs_locusTag_b4069	0.089208325587059	0	0.216827585775752	0	0	0
actP_locusTag_b4067	0	0	0.447121305825999	0	0	1.09234704287268
acuI_locusTag_b3253	5.98661976221192	8.44345080007975	17.9994987217133	15.3660505357818	21.8236879086774	10.5739193750075
ada_locusTag_b2213	4.03668929736732	1.31408635691382	10.0759730890366	7.81035314032717	4.37050087959869	7.64950633403232
add_locusTag_b1623	4.49978546256113	0.65727461317986	1.24944077476327	0.283003065271109	13.9358785532114	10.5767974151205
ade_locusTag_b3665	0.395606360667908	0.931789986426457	1.0501151212099	0.40120128947602	0	0.448808122878077
adhE_locusTag_b1241	495.072443857148	425.06196080749	298.983133275427	343.758620189445	129.459639683885	260.980322527766
adhP_locusTag_b1478	17.2511960044905	20.4384124337242	55.5916401012147	47.9627212756502	2.63082291183982	4.7064923034158
adiA_locusTag_b4117	0.708899387297375	0.362979035717714	0.414001209098147	0.833536365084218	0	0.381454522907919
adiC_locusTag_b4115	0.548571196760242	1.16902037422629	0.668342759082211	0.529837577357345	0	1.72424286587974
adiY_locusTag_b4116	1.42192451563688	1.94465303860104	0.29338668361286	0	0	12.4888811515837
adk_locusTag_b0474	78.7906188172467	81.6854775077482	58.7149993852126	82.3595959316423	26.803802736675	83.2724094543403
aegA_locusTag_b2468	3.23039566646302	3.99144946912861	3.13888189443504	3.00755075729024	0.335828530791674	5.49814678245914
aer_locusTag_b3072	0.275754019447808	0.757745584622541	3.95383403245213	2.7343938509035	0.874346470700217	1.1375921866603
aes_locusTag_b0476	0.983019992765898	1.7150759437662	1.63012976082395	2.46153707813933	10.3896951713674	2.47826235351738
afuB_locusTag_b0263	4.11788707059023	0	0	0	0	1.24301560051029
afuC_locusTag_b0262	2.37018085913628	1.10079372895022	0.790042421946607	2.16671687794958	6.98600324798727	5.43982567482152
agaA_locusTag_b3135	3.02286027805489	1.03831624703683	1.77237274381477	3.57654684650731	13.1790007218787	1.29900729422697
agaB_locusTag_b3138	0	0	0.703020921110061	0.49540368868213	0	1.20913886506661
agaC_locusTag_b3139	0	0	0.166836308144029	0	12.4056061747671	0
agaD_locusTag_b3140	0	0	0	0	0	0
agaI_locusTag_b3141	0.554790824841424	0	0	0.375091364287898	0	0
agaR_locusTag_b3131	71.1550054571618	41.6699933003935	44.2153291316821	34.3667043324223	51.7175937419179	56.073814867464
agaS_locusTag_b3136	0.0907839531558694	0	0	0	0	0
agaV_locusTag_b3133	0	0	0	0	0	0
agaW_locusTag_b3134	0	0	0	0	0	0
agp_locusTag_b1002	2.87043948504911	3.38043954133627	8.40602454994933	8.90434282179097	1.60613645161236	1.85751767676899
agrA_locusTag_b4712	15.3954453893495	16.6607377394431	8.5165963014476	0	0	1.71654535308563
