	N18	N19	N20	N21	N3	N4
None_locusTag_PFL_0005	16.6520721249422	16.1767351604471	0	5.57708177078988	9.32732777290718	10.4992172585723
None_locusTag_PFL_0006	1.87378640809213	0	13.9028937920761	4.01641691312028	6.71721135908953	10.4693049586903
None_locusTag_PFL_0007	4.87853675535416	1.17563482270691	9.38445330965135	0	0	0
None_locusTag_PFL_0008	24.7339805868161	35.7625210265411	64.8801710296884	27.4455155729886	36.9446624749924	16.8672135445566
None_locusTag_PFL_0009	2.73471529829662	3.95408709138661	3.15633264468754	4.88483138082196	4.28903022590514	6.36646923163598
None_locusTag_PFL_0010	1.17808563303076	1.36270220070555	0.388489658355554	1.89389904894223	1.05581006485042	0.548521152428145
None_locusTag_PFL_0011	3.77965320605043	17.6756924316712	29.212306022261	18.9881188694208	7.67447932028274	16.4983210438504
None_locusTag_PFL_0016	0.410207294744494	2.44659138779547	0	0	9.42054853189879	2.38742596186349
None_locusTag_PFL_0017	3.79441747638657	0	0	0	0	0
None_locusTag_PFL_0018	5.15468034527986	6.21090095014973	0	0	3.20810212315007	10.6668390145146
None_locusTag_PFL_0023	4.32360923125354	1.17214629207573	0	0	2.01815326441488	9.64605100793274
None_locusTag_PFL_0025	14.6880676505286	7.43304597582435	14.530766414944	9.61996631610261	5.11916510833839	0
None_locusTag_PFL_0029	3.94677458346901	3.14701482177759	5.74192171909834	7.77556811574433	2.73087392968721	2.97264203893978
None_locusTag_PFL_0030	11.5072530002834	6.02416798040666	13.7393303356987	8.50535346307824	4.00069205945774	5.54257321342426
None_locusTag_PFL_0032	1.72364705551945	0	3.78930606825039	0	1.28728892764886	1.33756104361816
None_locusTag_PFL_0033	12.7068864325504	10.7174151279328	8.38053504861888	10.5921320452986	2.21433653523475	17.0917490255827
None_locusTag_PFL_0034	0	0	0	0	0	9.07659925317643
None_locusTag_PFL_0035	5.33269483167842	10.6760351467439	2.02907098587056	4.39634824273977	5.97400638608216	15.2795261559264
None_locusTag_PFL_0039	31.1908078792877	18.1198761664919	19.2854820308432	8.95403036594705	16.2229898190855	38.8997110850419
None_locusTag_PFL_0040	0	0	0	0	0	5.88898403926328
None_locusTag_PFL_0041	0	0	4.00403341211791	2.16886513308495	0	0
None_locusTag_PFL_0042	3.63537003725659	6.11048518628503	1.34866394869241	8.27935043318357	6.71972528549638	17.7727422502317
None_locusTag_PFL_0044	14.0101568358889	9.28450065112126	7.70006425407291	25.025366920211	51.4447966107194	38.0518968690858
None_locusTag_PFL_0045	0	25.3937121704693	30.0302505908843	32.5329769962743	11.659159716134	4.03816048406625
None_locusTag_PFL_0046	3.95939214927294	10.0184532717633	7.61636790348516	11.7873105058965	6.40690539956638	28.676791843369
None_locusTag_PFL_0047	8.69639464858326	7.82909244094549	0.405814197174113	8.79269648547953	7.53643882551903	1.90994076949079
None_locusTag_PFL_0048	12.0302268375758	5.7644030016597	2.07582377356343	7.49607764891112	11.2830577898071	0
None_locusTag_PFL_0049	8.0058039062222	24.9596316205468	22.2751858778538	20.5565513987447	24.2899160752791	25.6267876873435
None_locusTag_PFL_0051	0	5.6632731244376	0	0	0.731309301191199	0
None_locusTag_PFL_0052	3.86340688504814	0.299252500325396	0	0	4.01887702336436	2.56973848986034
None_locusTag_PFL_0053	0	0.783756548471275	0	0	9.71596643011165	0
None_locusTag_PFL_0054	2.24476462468583	3.20879151609416	4.03768075171554	3.28063633575875	4.91513595876236	8.0763209681325
None_locusTag_PFL_0055	4.18694342221966	4.23769057932055	0	0	7.81744425411282	0.974728392705647
None_locusTag_PFL_0057	43.6841717394759	73.482172034576	68.0572251351486	35.9429490893682	48.552308166337	12.4119097031498
None_locusTag_PFL_0059	11.0275257907485	13.3728461082911	18.4756424533761	1.90622912087545	8.89997706195774	10.2137066930973
None_locusTag_PFL_0060	66.8156641651981	104.821965197778	140.085247169768	140.855068000629	82.0700628063062	45.79589822712
None_locusTag_PFL_0065	33.9265562594564	7.74535883195142	37.5378132386054	0	24.0041523567464	10.3923247751705
None_locusTag_PFL_0066	3.19529892748342	3.7315696396851	0	0	3.30421530416752	5.72208975474975
None_locusTag_PFL_0067	3.63537003725659	0	0	3.89616490973345	0	2.53896317860453
None_locusTag_PFL_0068	1.68640776728292	0	0	0	0.944607847371966	0.392598935950885
None_locusTag_PFL_0070	2.29096904234661	3.10545047507486	7.08260627143498	6.9055847397752	2.56648169852006	7.3334518224788
None_locusTag_PFL_0075	60.2047572920002	48.2794033858305	81.3319286836451	44.0550730157881	61.7773532181266	17.6669521177898
None_locusTag_PFL_0081	743.705825371767	516.397595874011	628.758371746641	676.075928203825	705.622061986858	697.844608652699
None_locusTag_PFL_0084	12.32246467579	11.0812312001681	6.68990730985047	8.85798878611428	9.76406527382507	4.89776890394174
None_locusTag_PFL_0086	6.0089068568033	1.34816826085161	1.02492322835783	11.1034051181823	9.05276053044532	0.964748238514121
None_locusTag_PFL_0087	1.33430065103703	1.26606827060744	1.23751032654743	2.90473008895306	6.35274728122685	2.52385030254141
None_locusTag_PFL_0089	0.224854368971056	0	2.78057875841522	0	4.40816995440251	2.35559361570531
None_locusTag_PFL_0092	5.11247828397348	0	9.48323702870032	10.273571683034	5.72730652722371	0
None_locusTag_PFL_0093	0	0	0	0	0	0
None_locusTag_PFL_0094	5.83756534828702	0	0	0	14.8230769895293	0
None_locusTag_PFL_0096	8.88448970080757	3.53263927213394	2.92978054545213	3.17394897524627	10.948235343199	11.375793558772
None_locusTag_PFL_0097	20.8150901561777	20.6911728796417	25.0252088257369	24.012435402012	12.3068908114748	12.7875081995431
None_locusTag_PFL_0098	30.0643940621044	18.7200126401637	6.71603048358436	9.87422624487558	12.3855290914203	15.8043022139973
None_locusTag_PFL_0099	19.7083176385451	11.5457867662858	24.6516982462483	16.994838729397	23.854872802289	23.2043550203807
None_locusTag_PFL_0100	67.3682476225291	73.0551143092024	78.8000048142004	80.2706612571258	89.4985106147099	162.738921857866
None_locusTag_PFL_0101	3.79441747638657	2.99252500325396	5.9719248334145	0.924232301030519	3.67108958865014	0.803043278081357
None_locusTag_PFL_0102	8.56007413327989	14.2810303842922	16.6110930600336	20.1125779694971	11.9500064335647	3.06584852369455
None_locusTag_PFL_0103	34.5820326961814	31.9058362010585	68.6948770297806	57.3592270729971	46.8580153148422	32.9697912939586
None_locusTag_PFL_0104	15.8891231823687	18.773418575101	9.38445330965136	8.89573589741875	11.1581801970813	7.17719929785212
None_locusTag_PFL_0106	3.62451818639911	4.91310075161098	12.3258491231242	0	0	4.21897364006922
None_locusTag_PFL_0107	7.51921261375686	5.83862676475849	3.21424700514053	0	4.15974097925269	4.1060806145322
None_locusTag_PFL_0108	10.7804010544067	35.0712743372006	4.20984821367537	63.8497679366131	20.3399671060281	11.8880425465502
None_locusTag_PFL_0109	31.2394759220952	10.8660616623008	10.2044540842811	25.2683316475917	19.8092519448878	20.58285683626
None_locusTag_PFL_0110	56.1287415374918	75.7729915918267	133.152997902978	44.5026572118846	41.0637071763209	1.33335487681433
None_locusTag_PFL_0111	43.8466019493559	120.698508464576	66.7338902019652	237.219623931167	80.2916670266171	247.337329649058
None_locusTag_PFL_0112	256.740343944421	267.704796977839	205.327315787071	197.614970710301	200.074770563845	151.836455952089
None_locusTag_PFL_0118	5.66831898192391	10.6760351467439	11.4365819203614	11.190704617883	29.7447031251084	26.7391707728711
None_locusTag_PFL_0120	0	0	0	0	0	0
None_locusTag_PFL_0121	0	0	0	0	0	0
None_locusTag_PFL_0124	2.9276723675673	6.85090749475906	2.66766185452018	4.95426045628542	10.0118841894044	5.73951743928198
None_locusTag_PFL_0126	2.53716273047938	0	0	0	9.33892892685359	0
None_locusTag_PFL_0127	3.99890704098225	4.33647335800873	3.59643719651309	0	1.22176823372661	0.846321059534843
None_locusTag_PFL_0129	8.80900057263077	1.54907176639028	1.76648532887555	1.9137045291926	10.1350865506263	0
None_locusTag_PFL_0130	0.262816794901234	0.855007143786846	0	8.45012389513618	3.82750192701368	5.50658247827216
None_locusTag_PFL_0132	41.9064868188534	58.844164223277	86.3701897525434	0	79.4473715170191	27.5166687852302
None_locusTag_PFL_0134	9.28833014175337	14.5976829427022	24.3038613429552	5.41014029871523	19.90588244218	20.3698782732832
None_locusTag_PFL_0135	2.19843686654152	1.19200856675576	0.418248615471927	1.13276382299005	0.378895626801011	1.96846263150862
None_locusTag_PFL_0136	3.99412365935428	3.75378136373084	2.63423250797231	2.85376991195388	7.75572758894877	16.1172194758785
None_locusTag_PFL_0137	0.205103647372247	2.44659138779547	0	3.29726118205483	1.14884738193888	6.20730750084508
None_locusTag_PFL_0138	2.80743027154613	0.951380781381316	11.283042129523	0	0.982828974144242	7.35271995653681
None_locusTag_PFL_0139	0.423070938133694	0	4.18540077921733	0	0	5.41704455179619
None_locusTag_PFL_0140	2.10071555786107	6.60633547431151	9.35198115287055	0	5.64803584864622	3.91240462124066
None_locusTag_PFL_0141	0.785898765335729	1.9175402933472	0.971852769931532	0	4.62215878714049	0
None_locusTag_PFL_0142	4.71539259201437	2.30104835201664	2.33244664783568	1.57927072797448	4.88628214640566	4.116571367252
None_locusTag_PFL_0143	1.70057926112563	0	0	0	0.381018291376927	1.58359234669265
None_locusTag_PFL_0144	4.42426005343859	1.73251447556808	4.86319847625657	0	1.37675637673647	0
None_locusTag_PFL_0145	0	0.774535883195142	0	0	3.20055364756619	13.3021757122182
None_locusTag_PFL_0146	0	0	0.944347502857998	4.09219836431123	4.4913429724101	1.7778065024191
None_locusTag_PFL_0147	2.95429097918175	2.16248157169447	0.913328789260472	7.71767702466361	3.14409619271253	5.33017533480764
None_locusTag_PFL_0148	1.46290794270325	0.264399799484285	0	7.18599893492002	0	0
None_locusTag_PFL_0149	3.07290717649911	6.48448646395933	9.03783191517723	4.89552321421364	7.070990616716	7.5404775112865
None_locusTag_PFL_0150	3.61776861808179	1.71638305587005	4.19416907693915	0.302914124732535	6.96582323201673	5.52709116534207
None_locusTag_PFL_0151	0	0	0	0	0.883269675464695	2.75329123913608
None_locusTag_PFL_0152	0	0	0	0	16.5882353684833	3.44721016932485
None_locusTag_PFL_0153	0	0	0	0	2.4882353052725	0
None_locusTag_PFL_0154	0	0	0	0	0.475606748327144	2.96508287291578
None_locusTag_PFL_0155	0.523367927777457	2.83773922722358	0.43146911768512	0	2.93154159529231	5.07671037867524
None_locusTag_PFL_0156	0	0	0	11.6189203558122	0	0
None_locusTag_PFL_0157	0.817652250803839	0.665005556278658	2.52779887128656	0	0	1.90350999248914
None_locusTag_PFL_0158	0.879864922060653	2.1808877870505	0	0.673560600336942	0.281622215365555	7.60812844824076
None_locusTag_PFL_0159	2.22383441839506	1.20577930534042	0	1.19168413905767	2.24214609925653	0
None_locusTag_PFL_0160	2.06004302111207	4.33647335800873	3.29673409680367	4.2208453188779	3.66530470117984	5.36003337705401
None_locusTag_PFL_0165	2.86371130293326	0	0	0	0	0
None_locusTag_PFL_0166	5.78196948782715	5.81601411141443	5.42418319375579	12.6606166635747	12.9322863518038	12.9499629316607
None_locusTag_PFL_0167	4.5156703851212	7.61733637191917	0	0	13.4899368616426	11.6806294993652
None_locusTag_PFL_0168	0	15.5342309157677	0	38.3816020742562	16.0477198340046	0
None_locusTag_PFL_0169	0	0	0	13.9926782779674	0	0
None_locusTag_PFL_0170	0	0	0	0	14.7495393999285	6.81135503336476
None_locusTag_PFL_0171	0.324656040760348	2.11237059053221	0	0	2.18219566879513	4.53483262916531
None_locusTag_PFL_0172	2.082699129406	2.8231367955226	0.257549318961272	0.279013524839402	4.31635558387464	1.45456895652472
None_locusTag_PFL_0173	0	0.67871701104729	0	10.900224251329	1.05172832490899	3.64267053975048
None_locusTag_PFL_0174	0	0	0	0	0	7.43871668117467
None_locusTag_PFL_0175	10.7712496103877	7.43304597582435	2.42179440249067	0	0	0
None_locusTag_PFL_0176	13.7088631404934	1.27423645299846	4.84358880498134	26.2362717711889	5.26542696857663	6.3828988296531
None_locusTag_PFL_0177	6.62686995875964	1.85452253722781	4.75831435418942	8.59145519267807	2.39478045812611	0
None_locusTag_PFL_0178	0	0	0	6.33759292135213	0	0
None_locusTag_PFL_0179	0	1.85452253722781	0	0	0	17.915782429308
None_locusTag_PFL_0180	0	0	0	0	3.57956657951482	0
None_locusTag_PFL_0181	0.544490400198969	1.18090672774147	19.5263961241176	4.37663367662883	2.13489845325323	8.87308805915903
