part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth,label,label_style,label_size,label_y_offset,label_x_offset
C_AmtR,CDS,35,,,,1.0;0.75;0.17,,,,,1,,italic,,-0.5,-2
C_LitR,CDS,35,,,,0.38;0.82;0.32,,,,,1,,italic,,-0.5,-2
C_BM3R1,CDS,35,,,,0.95;0.30;0.25,,,,,1,,italic,,-0.5,-2
C_SrpR,CDS,35,,,,0.38;0.65;0.87,,,,,1,,italic,,-0.5,-2
C_PhlF,CDS,35,,,,0.55;0.35;0.64,,,,,1,,italic,,-0.5,-2
C_YFP,CDS,35,,,,0.98;0.97;0.35,,,,,1,,italic,,-0.5,-2
P_Tac,Promoter,,,,,,,,,,,,,,-9,
P_Tet,Promoter,,,,,,,,,,,,,,-9,
P_BAD,Promoter,,,,,,,,,,,,,,-9,
P_BM3R1,Promoter,,,,,0.95;0.30;0.25,,,,,,,,,,
P_AmtR,Promoter,,,,,1.0;0.75;0.17,,,,,,,,,,
P_LitR,Promoter,,,,,0.38;0.82;0.32,,,,,,,,,,
P_SrpR,Promoter,,,,,0.38;0.65;0.87,,,,,,,,,,
P_PhlF,Promoter,,,,,0.55;0.35;0.64,,,,,,,,,,
Z_Rib,Ribozyme,,,,-1,,,,,,1,,,,,
T_Ter,Terminator,,,-1,,,,,,,,,,,,
R_RBS,RBS,,,,,0;0;0,,,,,1,,,,,
R_AmtR,RBS,,,,,1.0;0.75;0.17,,,,,1,,,,,
R_LitR,RBS,,,,,0.38;0.82;0.32,,,,,1,,,,,
R_BM3R1,RBS,,,,,0.95;0.30;0.25,,,,,1,,,,,
R_SrpR,RBS,,,,,0.38;0.65;0.87,,,,,1,,,,,
R_PhlF,RBS,,,,,0.55;0.35;0.64,,,,,1,,,,,
R_YFP,RBS,,,,,0.98;0.97;0.35,,,,,1,,,,,
