	flask_1	flask_2	flask_3	flask_4	flask_5	flask_6	flask_7	flask_8	tube_1	tube_2	tube_3	tube_4	tube_5	tube_6	tube_7	tube_8
17_locusTag_ECDH10B_1337	1.80680646473087	3.55605615662576	2.66996145421463	2.64335317911922	2.08231807081826	2.86382895162359	0	1.90059586047647	0.859159245880239	0.216066877120229	4.50075332952652	0.93273662151081	12.7249744868714	1.14440730818128	0	0
18_locusTag_ECDH10B_1338	0	0.876835764647447	0	0	0	1.97421400069371	0	0	0	0	0	0	0	0	0	0
19_locusTag_ECDH10B_1339	0	0	0	0	0	0	0	0.148098378738426	0	0	0	0	0	0	0	0
2_locusTag_ECDH10B_1347	2.34659341948276	1.2106078809875	0	1.05156795737192	3.39879139094166	0.487650364185913	1.76521906402563	2.59229923470381	0	0	0	0.634659383651301	1.72284867411954	2.6994443837287	0	0
30_locusTag_ECDH10B_1329	8.78986928787992	0	0	0	0	2.11205326650791	0	0	0	0	0	0	23.2144804828059	0	0	0
40_locusTag_ECDH10B_1327	38.5431206057641	78.7331767910078	86.681361052487	73.1266735884367	43.0423791541542	75.6554327255461	87.7838843447863	102.479978477891	134.581796058818	83.3689185732759	37.3180974597852	77.2207609142194	40.3355901616721	70.5651841930466	0	102.560801143577
5_locusTag_ECDH10B_1352	0	0	0	0	0	0	0.184374355554901	0	0	0	0	0	4.17881183392393	0	0	0
AmtR	535.418332760439	2612.57737875493	3991.83183247725	7415.67249158243	2293.02438143715	2305.27847483844	4747.40898089654	6972.65430353494	606.458551094208	2225.47914524073	4903.72716883441	6362.7759567448	1660.64585367905	2516.81339612883	7878.28869085431	12264.4405232169
AraC	2047.08705824022	1479.1890162114	3742.63897156232	2475.91073883099	4156.48987170929	4346.83629040682	7735.37511692088	8899.54243335081	2055.29658232893	1765.67197236038	1912.49374522538	2143.7049775259	1788.64685873055	1770.83946420636	1529.23299127954	1457.63305540901
BM3R1	46.1297349997999	42.660558704868	183.023782586837	282.071806859899	7541.25515323475	5826.78692247059	8560.19180877052	10022.0206367441	86.5391489114603	68.9174971788669	285.305202155057	211.086959370288	7104.18088960052	795.689205620965	802.522066171388	781.838909895264
B_locusTag_ECDH10B_1349	0.61247676770538	0.718311784598191	0	0.7467099376043	2.24996232228244	2.29271556891611	2.35520010118435	1.19650102596582	0	0.988780624109523	0.858194490799548	2.33488176440776	0	1.04742363799643	0	0
C_locusTag_ECDH10B_1350	0.544461769505955	1.0569002520304	0	0	0	0.25705911467366	2.52568174116166	0	0	0	0	0	0	0	0	0
D_locusTag_ECDH10B_1351	10.2548475025266	0	0	0	6.33137251262308	5.55803491186292	0	0	0	0	0	3.83953952305905	0	0	0	0
ECDH10B_0725_locusTag_ECDH10B_0725	0	2.40547864637795	0	1.63747542069332	0	1.89268303901314	2.45941249504207	1.58583219711058	0	0	0	4.51447064597812	5.06746771601073	0	0	0
ECDH10B_1315_locusTag_ECDH10B_1315	0	0	0	0.967080431385082	0	0	0	2.08601984686442	0	0	0	0	0	0	0	0
ECDH10B_1316_locusTag_ECDH10B_1316	0	0.668018217987615	0	2.41660956556046	3.56943630931741	3.56517201028209	3.0246966794475	2.73045938678577	2.88002591451954	0	0	1.04951090595417	0	0	0	0
ECDH10B_1317_locusTag_ECDH10B_1317	0	0.99777862873675	0	0	0	1.53171775915891	3.2856781707163	4.21314353307592	0	0	0	4.14164749180131	0	0	0	0
ECDH10B_1320_locusTag_ECDH10B_1320	0	0	0	0	0	0	0	0	0	0	0	2.06087469564582	0	0	0	0
ECDH10B_1321_locusTag_ECDH10B_1321	0.503444525776404	0.936558324468635	3.16179645893837	2.4551267917516	0	4.02381078572763	2.94998968887841	1.1348095584446	2.15454795406499	5.5990085495242	0	1.67932575818569	8.73751565275003	7.65300243241972	0	0
ECDH10B_1322_locusTag_ECDH10B_1322	2.46382699736028	0.221423172890769	0	7.07564234814742	0	1.4402234572962	0.802059486117615	0.493661262461421	0	0	0	1.56543209204611	0	0	0	0
ECDH10B_1324_locusTag_ECDH10B_1324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECDH10B_1325_locusTag_ECDH10B_1325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECDH10B_1331_locusTag_ECDH10B_1331	0	1.47586217811946	0	0	1.15970684637155	1.98181548474478	0	3.79043870335477	0	0	0	0	0	1.63163022156539	0	0
ECDH10B_1333_locusTag_ECDH10B_1333	1.18571674247963	0.822033529356981	4.7558688403198	0.991257442169709	8.78477936126452	7.7117734402098	7.44411460552912	5.49815231066407	0	2.67382760436284	3.48105140330567	2.01793980615319	3.57889907443258	6.17979946417893	0	0
ECDH10B_1334_locusTag_ECDH10B_1334	15.9708785721747	10.4907136127462	9.29718720664022	17.2289983996164	34.7207946183312	10.7230373549584	14.5337475631759	12.2181162459202	4.14237493549401	6.59775642634985	20.7958915002676	23.4081017513771	16.0685264566361	22.0707123720676	0	0
