chromosome	part_name	sample	reads_us	reads_ds	c_e	max_cut	cut_site
0x58v50	BydvJ	tube_8	0.0	125.54	0.992034411343	Y	8
0x58v50	BydvJ	tube_1	0.0	0.0	0.0	Y	8
0x58v50	BydvJ	tube_3	0.02	527.52	0.999962086746	N	8
0x58v50	BydvJ	tube_2	0.0	334.52	0.997010642114	Y	8
0x58v50	BydvJ	tube_5	0.0	0.0	0.0	Y	8
0x58v50	BydvJ	tube_4	23.36	3882.22	0.99398282426	N	8
0x58v50	BydvJ	tube_7	0.0	32.08	0.968827930175	Y	8
0x58v50	BydvJ	tube_6	0.0	268.1	0.996270048489	Y	8
0x58v50	BydvJ	flask_8	1.92	2364.64	0.99918803708	N	8
0x58v50	BydvJ	flask_7	34.14	274.8	0.87576419214	N	8
0x58v50	BydvJ	flask_6	1.22	942.1	0.998705020698	N	8
0x58v50	BydvJ	flask_5	1.52	22.68	0.932980599647	N	8
0x58v50	BydvJ	flask_4	0.0	2010.7	0.999502660765	Y	8
0x58v50	BydvJ	flask_3	0.0	719.74	0.998610609387	Y	8
0x58v50	BydvJ	flask_2	2.74	1636.88	0.998326083769	N	8
0x58v50	BydvJ	flask_1	0.0	0.0	0.0	Y	8
0x58v50	PlmJ	tube_8	6.72	331.64	0.979737064287	N	11
0x58v50	PlmJ	tube_1	23.0	21.16	0.0	N	11
0x58v50	PlmJ	tube_3	147.46	3356.38	0.956065761326	N	11
0x58v50	PlmJ	tube_2	34.98	40.5	0.136296296296	N	11
0x58v50	PlmJ	tube_5	31.44	1086.72	0.971068904594	N	11
0x58v50	PlmJ	tube_4	466.36	10754.46	0.956635665575	N	11
0x58v50	PlmJ	tube_7	34.8	459.36	0.924242424242	N	11
0x58v50	PlmJ	tube_6	170.74	1272.18	0.865789432313	N	11
0x58v50	PlmJ	flask_8	457.94	48659.78	0.990588942243	N	11
0x58v50	PlmJ	flask_7	308.1	15217.12	0.979753067598	N	11
0x58v50	PlmJ	flask_6	614.12	66159.92	0.990717642948	N	11
0x58v50	PlmJ	flask_5	106.78	5513.98	0.980634677674	N	11
0x58v50	PlmJ	flask_4	145.86	8174.72	0.982157187035	N	11
0x58v50	PlmJ	flask_3	49.04	3083.24	0.984094653676	N	11
0x58v50	PlmJ	flask_2	461.12	98.2	0.0	N	11
0x58v50	PlmJ	flask_1	228.16	9.2	0.0	N	11
0x58v50	RiboJ	tube_8	0.0	115.56	0.991346486674	Y	7
0x58v50	RiboJ	tube_1	0.3	53.78	0.994421718111	N	7
0x58v50	RiboJ	tube_3	13.0	9623.62	0.99864915697	N	7
0x58v50	RiboJ	tube_2	0.16	12.48	0.987179487179	N	7
0x58v50	RiboJ	tube_5	2.0	5569.56	0.999640905206	N	7
0x58v50	RiboJ	tube_4	13.76	55495.66	0.999752052683	N	7
0x58v50	RiboJ	tube_7	0.0	123.34	0.991892330144	Y	7
0x58v50	RiboJ	tube_6	0.0	817.06	0.998776099674	Y	7
0x58v50	RiboJ	flask_8	15.88	62790.96	0.999747097353	N	7
0x58v50	RiboJ	flask_7	2.8	37955.7	0.999926229789	N	7
0x58v50	RiboJ	flask_6	40.24	104929.4	0.999616504049	N	7
0x58v50	RiboJ	flask_5	7.58	20326.5	0.999627087792	N	7
0x58v50	RiboJ	flask_4	7.56	41247.44	0.999816715898	N	7
0x58v50	RiboJ	flask_3	3.72	21019.48	0.999823021312	N	7
0x58v50	RiboJ	flask_2	56.66	234.24	0.758111338798	N	7
0x58v50	RiboJ	flask_1	18.18	103.76	0.824787972244	N	7
0x58v50	RiboJ10	tube_8	0.0	0.0	0.0	Y	7
0x58v50	RiboJ10	tube_1	0.56	1603.08	0.999650672456	N	7
0x58v50	RiboJ10	tube_3	0.0	214.18	0.995331029975	Y	7
0x58v50	RiboJ10	tube_2	0.0	268.64	0.996277546158	Y	7
0x58v50	RiboJ10	tube_5	0.0	476.56	0.997901628336	Y	7
0x58v50	RiboJ10	tube_4	27.04	670.68	0.959682710085	N	7
0x58v50	RiboJ10	tube_7	0.0	0.0	0.0	Y	7
0x58v50	RiboJ10	tube_6	0.0	85.56	0.988312295465	Y	7
0x58v50	RiboJ10	flask_8	80.68	139.02	0.419651848655	N	7
0x58v50	RiboJ10	flask_7	19.96	145.4	0.86272352132	N	7
0x58v50	RiboJ10	flask_6	162.5	890.3	0.817477254858	N	7
0x58v50	RiboJ10	flask_5	9.64	1791.86	0.994620115411	N	7
0x58v50	RiboJ10	flask_4	12.2	457.12	0.973311165558	N	7
0x58v50	RiboJ10	flask_3	0.0	373.32	0.997321332905	Y	7
0x58v50	RiboJ10	flask_2	9.92	541.54	0.981681870222	N	7
0x58v50	RiboJ10	flask_1	3.14	4034.66	0.999221743592	N	7
0x58v50	RiboJ53	tube_8	0.0	38.98	0.974345818368	Y	7
0x58v50	RiboJ53	tube_1	15.0	765.98	0.98041724327	N	7
0x58v50	RiboJ53	tube_3	25.92	154.64	0.832384893947	N	7
0x58v50	RiboJ53	tube_2	0.0	664.34	0.998494746666	Y	7
0x58v50	RiboJ53	tube_5	25.0	87.6	0.714611872146	N	7
0x58v50	RiboJ53	tube_4	21.7	806.54	0.973094948794	N	7
0x58v50	RiboJ53	tube_7	0.36	88.68	0.995940460081	N	7
0x58v50	RiboJ53	tube_6	16.0	999.4	0.983990394237	N	7
0x58v50	RiboJ53	flask_8	52.2	2339.72	0.977689638076	N	7
0x58v50	RiboJ53	flask_7	58.54	546.78	0.892936830169	N	7
0x58v50	RiboJ53	flask_6	164.24	2469.32	0.933487761813	N	7
0x58v50	RiboJ53	flask_5	82.92	177.02	0.531578352729	N	7
0x58v50	RiboJ53	flask_4	24.6	509.66	0.951732527567	N	7
0x58v50	RiboJ53	flask_3	0.72	314.7	0.997712106768	N	7
0x58v50	RiboJ53	flask_2	90.88	6093.02	0.985084572183	N	7
0x58v50	RiboJ53	flask_1	169.76	1349.48	0.874203396864	N	7
0x58v50	SarJ	tube_8	17.0	0.34	0.0	N	8
0x58v50	SarJ	tube_1	1.56	0.0	0.0	Y	8
0x58v50	SarJ	tube_3	580.62	125.36	0.0	N	8
0x58v50	SarJ	tube_2	5.6	0.0	0.0	Y	8
0x58v50	SarJ	tube_5	71.94	87.16	0.174621385957	N	8
0x58v50	SarJ	tube_4	1165.76	324.42	0.0	N	8
0x58v50	SarJ	tube_7	51.08	23.88	0.0	N	8
0x58v50	SarJ	tube_6	38.1	81.38	0.531826001475	N	8
0x58v50	SarJ	flask_8	2416.76	4322.56	0.440896135623	N	8
0x58v50	SarJ	flask_7	415.64	905.78	0.541124776436	N	8
0x58v50	SarJ	flask_6	2524.76	7575.66	0.666727387449	N	8
0x58v50	SarJ	flask_5	485.34	1197.02	0.594543115403	N	8
0x58v50	SarJ	flask_4	274.62	83.14	0.0	N	8
0x58v50	SarJ	flask_3	153.24	33.1	0.0	N	8
0x58v50	SarJ	flask_2	78.54	10.44	0.0	N	8
0x58v50	SarJ	flask_1	0.0	0.0	0.0	Y	8
