gene_name	flask_1	flask_2	flask_3	flask_4	flask_5	flask_6	flask_7	flask_8	tube_1	tube_2	tube_3	tube_4	tube_5	tube_6	tube_7	tube_8
17_locusTag_ECDH10B_1337	12	73	12	18	8	94	0	21	3	1	16	13	28	5	0	0
18_locusTag_ECDH10B_1338	0	5	0	0	0	18	0	0	0	0	0	0	0	0	0	0
19_locusTag_ECDH10B_1339	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2_locusTag_ECDH10B_1347	37	59	0	17	31	38	19	68	0	0	0	21	9	28	0	0
30_locusTag_ECDH10B_1329	16	0	0	0	0	19	0	0	0	0	0	0	14	0	0	0
40_locusTag_ECDH10B_1327	274	1730	417	533	177	2658	426	1212	503	413	142	1152	95	330	0	22
5_locusTag_ECDH10B_1352	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0
AmtR	2937	44296	14818	41707	7276	62495	17777	63631	1749	8507	14398	73244	3018	9082	1588	2030
AraC	14754	32952	18254	18296	17329	154831	38058	106709	7788	8868	7378	32423	4271	8396	405	317
BM3R1	219	626	588	1373	20710	136711	27742	79155	216	228	725	2103	11174	2485	140	112
B_locusTag_ECDH10B_1349	8	29	0	10	17	148	21	26	0	9	6	64	0	9	0	0
C_locusTag_ECDH10B_1350	6	36	0	0	0	14	19	0	0	0	0	0	0	0	0	0
D_locusTag_ECDH10B_1351	28	0	0	0	10	75	0	0	0	0	0	22	0	0	0	0
ECDH10B_0725_locusTag_ECDH10B_0725	0	62	0	14	0	78	14	22	0	0	0	79	14	0	0	0
ECDH10B_1315_locusTag_ECDH10B_1315	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0
ECDH10B_1316_locusTag_ECDH10B_1316	0	15	0	18	15	128	15	33	11	0	0	16	0	0	0	0
ECDH10B_1317_locusTag_ECDH10B_1317	0	11	0	0	0	27	8	25	0	0	0	31	0	0	0	0
ECDH10B_1320_locusTag_ECDH10B_1320	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
ECDH10B_1321_locusTag_ECDH10B_1321	4	23	17	20	0	158	16	15	9	31	0	28	23	40	0	0
ECDH10B_1322_locusTag_ECDH10B_1322	18	5	0	53	0	52	4	6	0	0	0	24	0	0	0	0
ECDH10B_1324_locusTag_ECDH10B_1324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECDH10B_1325_locusTag_ECDH10B_1325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECDH10B_1331_locusTag_ECDH10B_1331	0	34	0	0	5	73	0	47	0	0	0	0	0	8	0	0
ECDH10B_1333_locusTag_ECDH10B_1333	7	15	19	6	30	225	30	54	0	11	11	25	7	24	0	0
ECDH10B_1334_locusTag_ECDH10B_1334	66	134	26	73	83	219	41	84	9	19	46	203	22	60	0	0
ECDH10B_1335_locusTag_ECDH10B_1335	19	105	0	14	0	47	28	20	0	0	0	39	11	10	0	0
