design	factor	lib_size
flask_1	1.06522300202017	7697400
flask_2	1.05140465649146	24104567
flask_3	0.856214119936947	6480505
flask_4	0.802042950133049	10481771
flask_5	0.917035078846899	5172160
flask_6	0.982543334125114	41242411
flask_7	0.842046192230552	6647216
flask_8	0.816782630405779	16700828
tube_1	1.01041521505096	4266411
tube_2	1.0454204887924	5465574
tube_3	0.97720442092024	4491220
tube_4	0.923304442549282	18636072
tube_5	0.989841538305616	2744419
tube_6	1.09382839165432	4931229
tube_7	1.46577958865962	205553
tube_8	1.38715411653095	178360
