chromosome	part_name	sample	reads_us	reads_ds	c_e	max_cut	cut_site
0x58v50	BydvJ	tube_8	0.0	228.23	0.995618455067	Y	8
0x58v50	BydvJ	tube_1	0.0	6.93	0.8556998557	Y	8
0x58v50	BydvJ	tube_3	0.01	1137.64	0.999991209873	N	8
0x58v50	BydvJ	tube_2	0.0	523.24	0.998088831129	Y	8
0x58v50	BydvJ	tube_5	0.0	0.0	0.0	Y	8
0x58v50	BydvJ	tube_4	18.35	7376.47	0.997512360248	N	8
0x58v50	BydvJ	tube_7	0.0	101.91	0.990187420273	Y	8
0x58v50	BydvJ	tube_6	0.0	525.55	0.998097231472	Y	8
0x58v50	BydvJ	flask_8	1.12	4281.34	0.99973839966	N	8
0x58v50	BydvJ	flask_7	22.07	585.03	0.962275438866	N	8
0x58v50	BydvJ	flask_6	0.61	1822.96	0.999665379383	N	8
0x58v50	BydvJ	flask_5	0.76	32.75	0.97679389313	N	8
0x58v50	BydvJ	flask_4	0.0	4068.24	0.99975419346	Y	8
0x58v50	BydvJ	flask_3	0.0	1427.99	0.999299714984	Y	8
0x58v50	BydvJ	flask_2	1.37	3101.12	0.999558224125	N	8
0x58v50	BydvJ	flask_1	0.0	0.0	0.0	Y	8
0x58v50	PlmJ	tube_8	9.36	599.59	0.984389332711	N	11
0x58v50	PlmJ	tube_1	16.71	15.58	0.0	N	11
0x58v50	PlmJ	tube_3	162.92	6208.31	0.97375775372	N	11
0x58v50	PlmJ	tube_2	44.25	126.86	0.651190288507	N	11
0x58v50	PlmJ	tube_5	34.9	2097.84	0.983363840903	N	11
0x58v50	PlmJ	tube_4	616.43	19320.63	0.96809472569	N	11
0x58v50	PlmJ	tube_7	32.45	757.03	0.957135120141	N	11
0x58v50	PlmJ	tube_6	194.04	2232.43	0.913081261227	N	11
0x58v50	PlmJ	flask_8	537.93	92690.17	0.994196471967	N	11
0x58v50	PlmJ	flask_7	316.16	26862.65	0.98823049848	N	11
0x58v50	PlmJ	flask_6	652.45	124852.89	0.994774249919	N	11
0x58v50	PlmJ	flask_5	109.28	10133.29	0.989215743357	N	11
0x58v50	PlmJ	flask_4	169.58	16220.17	0.989545115742	N	11
0x58v50	PlmJ	flask_3	60.87	6247.15	0.990256356899	N	11
0x58v50	PlmJ	flask_2	522.85	160.5	0.0	N	11
0x58v50	PlmJ	flask_1	256.71	15.91	0.0	N	11
0x58v50	RiboJ	tube_8	0.08	324.23	0.999753261574	N	7
0x58v50	RiboJ	tube_1	8.07	163.53	0.95065125665	N	7
0x58v50	RiboJ	tube_3	7.09	24491.98	0.999710517484	N	7
0x58v50	RiboJ	tube_2	13.06	67.82	0.807431436155	N	7
0x58v50	RiboJ	tube_5	5.44	14394.31	0.999622072889	N	7
0x58v50	RiboJ	tube_4	8.36	124159.23	0.999932667108	N	7
0x58v50	RiboJ	tube_7	0.0	318.9	0.996864220759	Y	7
0x58v50	RiboJ	tube_6	4.29	1766.79	0.997571867624	N	7
0x58v50	RiboJ	flask_8	25.25	131759.02	0.999808362266	N	7
0x58v50	RiboJ	flask_7	10.58	87906.63	0.999879645028	N	7
0x58v50	RiboJ	flask_6	44.27	229207.06	0.999806855862	N	7
0x58v50	RiboJ	flask_5	5.03	47367.84	0.999893809809	N	7
0x58v50	RiboJ	flask_4	13.09	94544.5	0.999861546679	N	7
