chromosome	part_name	sample	reads_us	reads_ds	reads_strength
0x58v50	pAmtR	tube_8	0.0	0.0	0.0
0x58v50	pAmtR	tube_1	0.0	5162.5	5162.5
0x58v50	pAmtR	tube_3	0.0	825.0	825.0
0x58v50	pAmtR	tube_2	0.0	918.0	918.0
0x58v50	pAmtR	tube_5	0.0	2119.0	2119.0
0x58v50	pAmtR	tube_4	23.0	2760.5	2737.5
0x58v50	pAmtR	tube_7	0.0	0.0	0.0
0x58v50	pAmtR	tube_6	0.0	376.0	376.0
0x58v50	pAmtR	flask_8	109.0	573.0	464.0
0x58v50	pAmtR	flask_7	22.0	376.5	354.5
0x58v50	pAmtR	flask_6	158.0	3127.5	2969.5
0x58v50	pAmtR	flask_5	14.0	6529.5	6515.5
0x58v50	pAmtR	flask_4	17.0	1558.5	1541.5
0x58v50	pAmtR	flask_3	0.0	1109.0	1109.0
0x58v50	pAmtR	flask_2	16.0	2849.5	2833.5
0x58v50	pAmtR	flask_1	0.0	16485.5	16485.5
0x58v50	pBAD1	tube_8	68.0	254.0	186.0
0x58v50	pBAD1	tube_1	372.5	20.0	-352.5
0x58v50	pBAD1	tube_3	1429.0	2632.5	1203.5
0x58v50	pBAD1	tube_2	1271.0	56.0	-1215.0
0x58v50	pBAD1	tube_5	1010.0	844.0	-166.0
0x58v50	pBAD1	tube_4	5851.5	8150.5	2299.0
0x58v50	pBAD1	tube_7	195.0	375.0	180.0
0x58v50	pBAD1	tube_6	1308.0	972.0	-336.0
0x58v50	pBAD1	flask_8	5615.5	35345.5	29730.0
0x58v50	pBAD1	flask_7	1832.5	11515.5	9683.0
0x58v50	pBAD1	flask_6	10398.5	48097.0	37698.5
0x58v50	pBAD1	flask_5	1319.0	4071.5	2752.5
0x58v50	pBAD1	flask_4	6091.0	6521.5	430.5
0x58v50	pBAD1	flask_3	830.0	2315.5	1485.5
0x58v50	pBAD1	flask_2	10262.0	337.0	-9925.0
0x58v50	pBAD1	flask_1	619.0	40.5	-578.5
0x58v50	pBAD2	tube_8	482.5	31.0	-451.5
0x58v50	pBAD2	tube_1	62.0	0.0	-62.0
0x58v50	pBAD2	tube_3	5323.0	164.0	-5159.0
0x58v50	pBAD2	tube_2	224.0	0.0	-224.0
0x58v50	pBAD2	tube_5	74480.5	485.0	-73995.5
0x58v50	pBAD2	tube_4	7834.5	504.0	-7330.5
0x58v50	pBAD2	tube_7	1757.5	47.0	-1710.5
0x58v50	pBAD2	tube_6	3614.0	403.0	-3211.0
0x58v50	pBAD2	flask_8	42187.5	18384.5	-23803.0
0x58v50	pBAD2	flask_7	20090.5	5211.5	-14879.0
0x58v50	pBAD2	flask_6	111684.0	28615.5	-83068.5
0x58v50	pBAD2	flask_5	15560.0	4119.5	-11440.5
0x58v50	pBAD2	flask_4	19984.0	247.0	-19737.0
0x58v50	pBAD2	flask_3	2090.5	130.0	-1960.5
0x58v50	pBAD2	flask_2	91.0	19.0	-72.0
0x58v50	pBAD2	flask_1	27.0	0.0	-27.0
0x58v50	pBM3R1	tube_8	0.0	0.0	0.0
0x58v50	pBM3R1	tube_1	0.0	1696.5	1696.5
0x58v50	pBM3R1	tube_3	3.0	236.0	233.0
0x58v50	pBM3R1	tube_2	0.0	288.0	288.0
0x58v50	pBM3R1	tube_5	6.5	570.5	564.0
0x58v50	pBM3R1	tube_4	0.0	696.0	696.0
0x58v50	pBM3R1	tube_7	0.0	0.0	0.0
0x58v50	pBM3R1	tube_6	10.0	71.0	61.0
0x58v50	pBM3R1	flask_8	918.5	143.0	-775.5
0x58v50	pBM3R1	flask_7	303.0	166.0	-137.0
0x58v50	pBM3R1	flask_6	1188.5	969.0	-219.5
0x58v50	pBM3R1	flask_5	211.5	1913.0	1701.5
0x58v50	pBM3R1	flask_4	22.0	499.0	477.0
0x58v50	pBM3R1	flask_3	0.0	423.5	423.5
0x58v50	pBM3R1	flask_2	2.0	496.0	494.0
0x58v50	pBM3R1	flask_1	0.0	4368.5	4368.5
0x58v50	pDNA2.0	tube_8	24.0	29.0	5.0
0x58v50	pDNA2.0	tube_1	393.5	381.0	-12.5
0x58v50	pDNA2.0	tube_3	747.0	481.0	-266.0
0x58v50	pDNA2.0	tube_2	1391.0	589.5	-801.5
0x58v50	pDNA2.0	tube_5	694.0	305.0	-389.0
0x58v50	pDNA2.0	tube_4	1084.5	1479.0	394.5
0x58v50	pDNA2.0	tube_7	75.0	28.0	-47.0
0x58v50	pDNA2.0	tube_6	688.0	446.0	-242.0
0x58v50	pDNA2.0	flask_8	10711.0	2865.5	-7845.5
0x58v50	pDNA2.0	flask_7	1445.5	1318.5	-127.0
0x58v50	pDNA2.0	flask_6	13003.0	5622.0	-7381.0
0x58v50	pDNA2.0	flask_5	1560.0	649.0	-911.0
0x58v50	pDNA2.0	flask_4	1457.5	656.5	-801.0
0x58v50	pDNA2.0	flask_3	301.0	475.0	174.0
0x58v50	pDNA2.0	flask_2	1409.0	1648.0	239.0
0x58v50	pDNA2.0	flask_1	342.5	796.5	454.0
0x58v50	pJ23105	tube_8	0.0	47.0	47.0
0x58v50	pJ23105	tube_1	3.0	2597.0	2594.0
0x58v50	pJ23105	tube_3	91.0	1859.0	1768.0
0x58v50	pJ23105	tube_2	17.0	2023.0	2006.0
0x58v50	pJ23105	tube_5	27.0	994.5	967.5
0x58v50	pJ23105	tube_4	382.5	8032.0	7649.5
0x58v50	pJ23105	tube_7	0.0	141.0	141.0
0x58v50	pJ23105	tube_6	0.0	2635.0	2635.0
0x58v50	pJ23105	flask_8	245.0	28924.5	28679.5
0x58v50	pJ23105	flask_7	276.0	11390.0	11114.0
0x58v50	pJ23105	flask_6	953.0	41656.5	40703.5
0x58v50	pJ23105	flask_5	230.0	4876.0	4646.0
0x58v50	pJ23105	flask_4	390.0	6241.5	5851.5
0x58v50	pJ23105	flask_3	329.5	6240.0	5910.5
