	N6	N7
AZC_0001	0	0
AZC_0002	7.39006594775358	0
AZC_0003	0	0
AZC_0004	0	0
AZC_0005	0	0
AZC_0006	10.5424717016904	0
AZC_0007	0	0
AZC_0008	68.0839624089813	33.2161212557001
AZC_0009	50.8806040502834	16.5487461256077
AZC_0010	0	73.5499827804788
AZC_0011	87.0635125030178	0
AZC_0013	164.734847550586	224.059550192187
AZC_0014	75.7574599669211	16.6319056538771
AZC_0017	36.5472352325268	51.2621092106367
AZC_0019	31.539193584555	6.15481027451705
AZC_0022	0	0
AZC_0023	0	0
AZC_0024	0	0
AZC_0025	0	0
AZC_0026	21.3537316337356	0
AZC_0027	61.0662664644751	154.548065083031
AZC_0029	29.1643674009561	19.7008882447711
AZC_0030	0	10.2867108783886
AZC_0031	78.4764263383366	28.2109522993617
AZC_0032	0	0
AZC_0033	14.4035680255579	93.6942455802278
AZC_0034	60.9444587521125	0
AZC_0035	250.045475917454	83.7009489269371
AZC_0036	22.6105463208934	24.7452313367642
AZC_0037	16.5667412455135	3.232966276065
AZC_0038	2.95602637910143	0
AZC_0040	21.4601203322666	57.5836164117627
AZC_0044	0	0
AZC_0045	0	14.1054761496809
AZC_0046	40.4392020746172	11.0482806751792
AZC_0047	62.9500692508859	151.194825415973
AZC_0048	0	0
AZC_0049	2.21051826003186	12.9413459437793
AZC_0051	46.4154388344129	26.2678509930281
AZC_0052	27.3772418887723	5.34261376129386
AZC_0053	41.6201260125017	40.6104199401417
AZC_0054	6.93668766875029	15.7929410878329
AZC_0055	49.3550832939257	4.37797516550469
AZC_0056	93.2188276053522	50.183357121009
AZC_0057	88.6807913730429	32.4485218149171
AZC_0058	57.9835943592973	49.0333218536525
AZC_0059	69.5803132311568	0
AZC_0060	0	0
AZC_0061	9.94733217014338	20.4904644109838
AZC_0062	15.634095071692	10.8962937452561
AZC_0063	59.7453151918783	37.8923293056628
AZC_0065	0	27.5187010403152
AZC_0066	3.47367155147864	3.38940012813266
AZC_0067	0	0
AZC_0068	0	0
AZC_0069	0	0
AZC_0070	0	0
AZC_0071	0	8.99693978966101
AZC_0072	0	4.07479128977722
AZC_0073	0	0
AZC_0075	89.1176425620727	119.564011416542
AZC_0076	198.028716328787	149.593185316228
AZC_0077	891.885058274687	2234.571995926
AZC_0078	2.8284680175267	27.5984926005549
AZC_0080	0	14.976240837654
AZC_0081	0	42.8201954543883
AZC_0086	0	0
AZC_0087	23.5558352084645	12.769094232722
AZC_0088	24.1211752534677	32.3619924234107
AZC_0089	0	0
AZC_0090	36.2080960409586	54.600423898172
AZC_0091	18.7276205384066	86.7981163247886
AZC_0092	15.4887683562507	50.3767005345745
AZC_0093	0	0
AZC_0094	0	0
AZC_0095	25.2665941900849	0
AZC_0097	170.209906022453	197.106653605253
AZC_0098	2.29114506586889	0
AZC_0099	17.2787788348622	16.8595949067
AZC_0100	0	0
AZC_0102	8.67529480823246	11.286442370406
AZC_0103	19.4108169958163	0
AZC_0104	0	39.5430014948811
AZC_0105	62.1473099116937	9.78058281655303
AZC_0106	59.2366779309128	13.0049085466465
AZC_0107	71.4489788313616	13.9431246977211
AZC_0109	17.3683577573932	21.1837508008291
AZC_0110	189.433313508908	531.408252550056
AZC_0111	200.034018080942	487.952960194115
AZC_0112	33.7516444777999	142.708921812869
