Chr	Locus	Gene Name	CT State 1	CT State 2	CT State 3	CT State 4	CT State 5	CT State 6	CT State 7	CT State 8
DH10B	SYNTHETIC_AmtR	AmtR	2369.4	7385.4	15045.9	18372.8	5169.3	7750.5	19908.3	33026.2
DH10B	SYNTHETIC_BM3R1	BM3R1	315.2	264.5	1047.3	596.2	4598.5	2206.5	1006.5	1436.8
DH10B	SYNTHETIC_LitR	LitR	643.6	1257.1	54532.2	42059.7	36288.9	17807.5	82382.4	84971.6
DH10B	SYNTHETIC_PhlF	PhlF	12631.4	9362.6	3276.7	2471.3	1807.9	11787.7	14516.8	18425.7
DH10B	SYNTHETIC_SrpR	SrpR	45571.5	9771.9	10541.5	8589.6	40481.1	7023.2	3044.7	4326.6
DH10B	SYNTHETIC_YFP	YFP	683.7	427.5	59413.8	74388.4	81578.9	3029	18009.1	11789.1
DH10B	SYNTHETIC_AraC	AraC	5198.9	4562.6	4897.3	6283.7	4787.1	4299.9	2417.1	3769.6
DH10B	SYNTHETIC_KanR	KanR	4589.1	4242.5	5671.7	3987.9	2767.5	3303.1	2261.6	1762.5
DH10B	SYNTHETIC_LacI	LacI	827.6	1071.4	1156.2	1403.1	1191.8	1311.2	829.6	1171.7
DH10B	SYNTHETIC_TetR	TetR	1037.9	1023.5	1638.5	1486.5	1145.2	1330.4	428	994.2
DH10B	ECDH10B_0001	thrL	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0002	thrA	185.2	289.3	235	283.6	190	292.3	389.4	784.3
DH10B	ECDH10B_0003	thrB	205.2	292.8	340.3	234.4	208.1	287.2	0	332.5
DH10B	ECDH10B_0004	thrC	204.1	301.9	265.1	245.4	200.3	403.9	320.7	120.5
DH10B	ECDH10B_0005	yaaX	13.5	33.7	0	23.3	85.7	36.3	0	0
DH10B	ECDH10B_0006	yaaA	114.8	124.8	102.8	76	49.2	67.4	250	0
DH10B	ECDH10B_0007	yaaJ	65.9	40.9	28.2	50.6	73.4	61.3	8.5	0
DH10B	ECDH10B_0008	talB	3369.3	3256.2	1619.5	2317.6	2068.6	1727.5	827.2	1197.2
DH10B	ECDH10B_0009	mog	266	125.6	283.4	189.5	102.9	158.5	0	0
DH10B	ECDH10B_0010	yaaH	143.2	142.5	231.3	100.2	67.4	160.3	0	0
DH10B	ECDH10B_0011	yaaW	0	24.8	22.1	20.8	20.1	21.6	0	0
DH10B	ECDH10B_0012	htgA	0	0	18.3	0	29.5	0	0	0
DH10B	ECDH10B_0013	yaaI	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0014	dnaK	4577.9	5607.1	395	358.3	1241.1	1161	1285.7	2059.5
DH10B	ECDH10B_0015	dnaJ	744.6	1122.6	133.4	180.5	417.9	292.1	375.7	174.5
DH10B	ECDH10B_0016	insL-1	130.6	154.9	105.4	84.1	98.7	141.1	32.7	38
DH10B	ECDH10B_0017	mokC	81.2	0	0	5.9	0	33	0	0
DH10B	ECDH10B_0018	hokC	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0020	nhaA	132.3	155.6	274.6	129.8	375	213.1	72.8	145
DH10B	ECDH10B_0021	nhaR	78.6	45.9	81.6	95.2	138.8	100.3	0	77.8
DH10B	ECDH10B_0022	insB-1	135.3	320.6	133	236.8	186.3	327	0	279.8
DH10B	ECDH10B_0023	insA-1	61.8	175.6	57.2	60	115.3	78.1	0	0
DH10B	ECDH10B_0024	rpsT	341.8	518.8	530.3	842.3	633	507.6	275.9	0
DH10B	ECDH10B_0025	yaaY	0	0	0	14.7	0	0	0	0
DH10B	ECDH10B_0026	ribF	558.8	548.9	308.8	452.7	451.1	526.5	322.2	29.9
DH10B	ECDH10B_0027	ileS	688.3	812.4	731.5	764.4	952.5	837.6	452.5	480.5
DH10B	ECDH10B_0028	lspA	295.7	144.6	199.2	243.6	289.4	244.3	49.1	0
DH10B	ECDH10B_0029	fkpB	262.9	106	317.7	293.2	491.6	179.7	188.9	0
DH10B	ECDH10B_0030	ispH	481.8	356.8	257.1	535.2	430.1	620.3	127.7	593.1
DH10B	ECDH10B_0031	rihC	147.9	69	29.1	20.5	0	22.7	146	0
DH10B	ECDH10B_0032	dapB	309.8	382.9	164.3	112.1	127.8	229.5	0	0
DH10B	ECDH10B_0033	carA	51.5	48.9	29.2	59.6	88.6	29.5	158.5	0
DH10B	ECDH10B_0034	carB	52	43.2	31.5	49.3	90.9	72.9	30.1	157.5
DH10B	ECDH10B_0035	caiF	45.6	46.6	22.4	0	0	0	0	0
DH10B	ECDH10B_0036	caiE	20.4	0	0	0	0	3.9	0	0
DH10B	ECDH10B_0037	caiD	0	0	0	0	19.6	0	0	0
DH10B	ECDH10B_0038	caiC	15.3	3.4	13.2	13.4	0	18.7	0	0
DH10B	ECDH10B_0039	caiB	15.6	27.8	0	5.3	24.8	19	0	0
DH10B	ECDH10B_0040	caiA	31.6	45.1	0	21.2	0	99.7	0	0
DH10B	ECDH10B_0041	caiT	0	0	11.1	2.1	11.6	6.1	0	0
DH10B	ECDH10B_0042	fixA	0	0	0	7.7	0	0	0	0
DH10B	ECDH10B_0043	fixB	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0044	fixC	0	9	0	1.9	0	0	0	0
DH10B	ECDH10B_0045	fixX	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0046	yaaU	0	6.4	4.4	0.2	0	0	0	0
DH10B	ECDH10B_0047	kefF	30.2	29	9.3	0	62.9	0	0	0
DH10B	ECDH10B_0048	kefC	30.1	16.5	21.7	19	5.1	7.4	0	0
DH10B	ECDH10B_0049	folA	114.9	51.3	310.2	218.8	212.2	166.9	151.8	176.2
DH10B	ECDH10B_0050	apaH	255.7	215.4	402.3	411.5	458.8	218.3	129.6	200.7
DH10B	ECDH10B_0051	apaG	98.1	301.3	430.4	605.3	378.9	411.5	353.3	522.2
DH10B	ECDH10B_0052	ksgA	337.9	460.6	636.9	600	602.1	496.5	576	0
DH10B	ECDH10B_0053	pdxA	213.7	237.1	274.9	241.6	184.9	246.6	0	0
DH10B	ECDH10B_0054	surA	573.4	523.1	609	734.7	378.4	718	509.4	273.9
DH10B	ECDH10B_0055	imp	540.3	656.1	667.8	744.7	445.3	561.1	861	479
DH10B	ECDH10B_0056	djlA	52.8	174.5	90.6	91.4	148.2	108.5	372	0
DH10B	ECDH10B_0058	yabP	88.2	44.5	74.3	106.8	88	150	0	0
DH10B	ECDH10B_0060	rluA	45.6	11.7	64.2	29.6	0	26.8	0	0
DH10B	ECDH10B_0061	hepA	5	21.7	11.2	6.7	0	13	60.1	55.8
DH10B	ECDH10B_0062	fruR	21.2	0	0	0	0	17.3	0	0
DH10B	ECDH10B_0063	mraZ	725.2	266.6	232	269.2	280.8	406	0	675.8
DH10B	ECDH10B_0064	mraW	349.1	264.7	175.8	244.2	370	260.8	193.3	434.1
DH10B	ECDH10B_0065	ftsL	54.8	92.5	35	105.3	21.7	117.8	0	0
DH10B	ECDH10B_0066	ftsI	197.5	263.5	168.5	170.2	266.6	140.8	254.2	119.7
DH10B	ECDH10B_0067	murE	190.7	270.5	306.1	264	294.1	281	0	388.5
DH10B	ECDH10B_0068	murF	90	271.2	283.7	283.5	333.8	249.9	339.5	103.8
DH10B	ECDH10B_0069	mraY	205.5	182.6	334.1	335.2	483.5	435.9	526.9	247.4
DH10B	ECDH10B_0070	murD	118.8	123.3	331.6	302.8	361.3	208.2	147.5	10.7
DH10B	ECDH10B_0071	ftsW	186	205.8	399.1	289.6	233.9	306.8	126.8	181.2
DH10B	ECDH10B_0072	murG	133.3	182.3	304.7	207.3	476.8	218.5	159.2	39.6
DH10B	ECDH10B_0073	murC	139.3	201.8	315.3	277.1	346.1	295.3	189.2	38.2
DH10B	ECDH10B_0074	ddlB	270	327.5	503.2	406.7	509.8	614.6	158.2	45.9
DH10B	ECDH10B_0075	ftsQ	263	326.9	316.8	374.6	497.9	443	0	17
DH10B	ECDH10B_0076	ftsA	332.6	414.9	506.6	517.7	651.5	607.9	67.3	413.1
DH10B	ECDH10B_0077	ftsZ	751.1	957.8	1076.7	1037.9	846.9	817.6	600.7	244.8
