Chr	Locus	Gene Name	EF State 1	EF State 2	EF State 3	EF State 4	EF State 5	EF State 6	EF State 7	EF State 8
DH10B	SYNTHETIC_AmtR	AmtR	2693.6	7284.5	12805.1	21797.1	9082.2	8381.6	17169.8	23503.3
DH10B	SYNTHETIC_BM3R1	BM3R1	179.7	171.2	577.7	767.6	19953.8	13999.7	21432.3	24305.1
DH10B	SYNTHETIC_LitR	LitR	506.5	434.7	50765.7	67369.2	91579.6	111877.6	175798	230935.7
DH10B	SYNTHETIC_PhlF	PhlF	11526.7	11293.4	3836.2	3800.2	3325.6	3961.8	7167.7	8438.9
DH10B	SYNTHETIC_SrpR	SrpR	80529.9	7270.3	12461.2	12036.7	58536.2	9478.7	14146.1	10450.1
DH10B	SYNTHETIC_YFP	YFP	555.7	454.4	62157.7	71022.9	140996.5	64763.3	118948.2	104158.3
DH10B	SYNTHETIC_AraC	AraC	5244.1	3940	9607	6130.1	10757.2	11128.3	19660.7	21825.5
DH10B	SYNTHETIC_KanR	KanR	2269.5	3707.1	5359.3	6187.4	6655.1	5962.3	6909.9	8538.3
DH10B	SYNTHETIC_LacI	LacI	1013.6	1382.9	1237.5	1082.2	1985.7	2098.5	3115.1	3473.9
DH10B	SYNTHETIC_TetR	TetR	1168.6	1006.4	1603.2	2127.4	2821.5	3013.4	4752.7	3172.5
DH10B	ECDH10B_0001	thrL	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0002	thrA	375.6	325.3	312.6	253.8	164.9	127.5	249.9	214.3
DH10B	ECDH10B_0003	thrB	389.5	437.3	313.8	214.3	105.7	138.8	253.9	224.4
DH10B	ECDH10B_0004	thrC	451	322.2	335.9	304.9	172	139.3	194.7	189.7
DH10B	ECDH10B_0005	yaaX	79.3	33.5	0	0	48.3	25.7	0	14.2
DH10B	ECDH10B_0006	yaaA	110.3	86.7	89.8	158.7	174.2	117.9	79.9	72.6
DH10B	ECDH10B_0007	yaaJ	96.4	84	43.5	13.5	56.4	46.2	81.5	65.6
DH10B	ECDH10B_0008	talB	2003.4	2171.9	1818.2	1787.2	3168.5	4232	2969.1	3770
DH10B	ECDH10B_0009	mog	171.3	238.1	154.8	169.6	330.8	290.1	310.2	195
DH10B	ECDH10B_0010	yaaH	201.7	212.1	155.2	191	128.1	165.4	146.8	177.7
DH10B	ECDH10B_0011	yaaW	13.2	20.1	14.9	33	52.7	12.3	0	8
DH10B	ECDH10B_0012	htgA	13.6	0	0	6.6	9.2	5.3	0	0
DH10B	ECDH10B_0013	yaaI	20.9	6.2	0	0	0	5.4	0	17.1
DH10B	ECDH10B_0014	dnaK	1083.4	1398.9	360.8	598	255.8	532.5	527.9	499.3
DH10B	ECDH10B_0015	dnaJ	648.1	379.9	215.3	187.7	155.4	172.7	207.5	179
DH10B	ECDH10B_0016	insL-1	156.1	155.6	79	83.3	58.8	89.3	91.1	105.2
DH10B	ECDH10B_0017	mokC	31.4	0	0	0	0	0	21.6	0
