sample	fasta_file	gff_file	bed_file	R1_fastq_file	R2_fastq_file	temp_path	output_path
None							./results/
EcoliMG1655_LBWB_1	./data/fasta/EcoliMG1655_LBWB.fasta	./data/gff/MG1655_LBWB.gff	./data/bed/EcoliMG1655_LBWB.bed	/btl/projects/seq/foundry/H9FULADXX/pkgs/SN0025683/SplitFastq/FastqsConcatenated_Technical_Replicates/H9FULADXX.ATTATGTT.unmapped.1_E_coli_with_Laurens_best_cluster_1.fastq	/btl/projects/seq/foundry/H9FULADXX/pkgs/SN0025683/SplitFastq/FastqsConcatenated_Technical_Replicates/H9FULADXX.ATTATGTT.unmapped.2_E_coli_with_Laurens_best_cluster_1.fastq	/broad/hptmp/tgorocho/nif_EcoliMG1655_LBWB_1/	./results/EcoliMG1655_LBWB_1/
EcoliMG1655_LBWB_2	./data/fasta/EcoliMG1655_LBWB.fasta	./data/gff/MG1655_LBWB.gff	./data/bed/EcoliMG1655_LBWB.bed	/btl/projects/seq/foundry/H9FULADXX/pkgs/SN0025683/SplitFastq/FastqsConcatenated_Technical_Replicates/H9FULADXX.ATTATGTT.unmapped.1_E_coli_with_Laurens_best_cluster_2.fastq	/btl/projects/seq/foundry/H9FULADXX/pkgs/SN0025683/SplitFastq/FastqsConcatenated_Technical_Replicates/H9FULADXX.ATTATGTT.unmapped.2_E_coli_with_Laurens_best_cluster_2.fastq	/broad/hptmp/tgorocho/nif_EcoliMG1655_LBWB_2/	./results/EcoliMG1655_LBWB_2/
EcoliMG1655_synnifI4_1	./data/fasta/EcoliMG1655_synnifI4.fasta	./data/gff/MG1655_synnifI4.gff	./data/bed/EcoliMG1655_synnifI4.bed	/btl/projects/seq/foundry/H9FULADXX/pkgs/SN0025683/SplitFastq/FastqsConcatenated_Technical_Replicates/H9FULADXX.ATTATGTT.unmapped.1_E_coli_with_Dehuas_best_cluster_I4_1.fastq	/btl/projects/seq/foundry/H9FULADXX/pkgs/SN0025683/SplitFastq/FastqsConcatenated_Technical_Replicates/H9FULADXX.ATTATGTT.unmapped.2_E_coli_with_Dehuas_best_cluster_I4_1.fastq	/broad/hptmp/tgorocho/nif_EcoliMG1655_synnifI4_1/	./results/EcoliMG1655_synnifI4_1/
EcoliMG1655_synnifI4_2	./data/fasta/EcoliMG1655_synnifI4.fasta	./data/gff/MG1655_synnifI4.gff	./data/bed/EcoliMG1655_synnifI4.bed	/btl/projects/seq/foundry/H9FULADXX/pkgs/SN0025683/SplitFastq/FastqsConcatenated_Technical_Replicates/H9FULADXX.ATTATGTT.unmapped.1_E_coli_with_Dehuas_best_cluster_I4_2.fastq	/btl/projects/seq/foundry/H9FULADXX/pkgs/SN0025683/SplitFastq/FastqsConcatenated_Technical_Replicates/H9FULADXX.ATTATGTT.unmapped.2_E_coli_with_Dehuas_best_cluster_I4_2.fastq	/broad/hptmp/tgorocho/nif_EcoliMG1655_synnifI4_2/	./results/EcoliMG1655_synnifI4_2/
N1	./data/fasta/N1.fasta	./data/gff/N1.gff	./data/bed/N1.bed	/btl/projects/Foundry/Yongjin/DataProcessingIntermediates/Barcode_Trimmed_Set_YP_Merged/merged_reads_1_N1_E_coli_MG1655_pKU7017.fastq	/btl/projects/Foundry/Yongjin/DataProcessingIntermediates/Barcode_Trimmed_Set_YP_Merged/merged_reads_2_N1_E_coli_MG1655_pKU7017.fastq	/broad/hptmp/tgorocho/nif_N1/	./results/N1/
N2	./data/fasta/N2.fasta	./data/gff/N2.gff	./data/bed/N2.bed	/btl/projects/Foundry/Yongjin/DataProcessingIntermediates/Barcode_Trimmed_Set_YP_Merged/merged_reads_1_N2_E_coli_MG1655_pKU7017.fastq	/btl/projects/Foundry/Yongjin/DataProcessingIntermediates/Barcode_Trimmed_Set_YP_Merged/merged_reads_2_N2_E_coli_MG1655_pKU7017.fastq	/broad/hptmp/tgorocho/nif_N2/	./results/N2/
N29	./data/fasta/N29.fasta	./data/gff/N29.gff	./data/bed/N29.bed	/btl/projects/Foundry/Yongjin/DataProcessingIntermediates/Barcode_Trimmed_Set_YP_Merged/merged_reads_1_N29_E_coli_MG1655_LBWv2_225.fastq	/btl/projects/Foundry/Yongjin/DataProcessingIntermediates/Barcode_Trimmed_Set_YP_Merged/merged_reads_2_N29_E_coli_MG1655_LBWv2_225.fastq	/broad/hptmp/tgorocho/nif_N29/	./results/N29/
N30	./data/fasta/N30.fasta	./data/gff/N30.gff	./data/bed/N30.bed	/btl/projects/Foundry/Yongjin/DataProcessingIntermediates/Barcode_Trimmed_Set_YP_Merged/merged_reads_1_N30_E_coli_MG1655_LBWv2_143.fastq	/btl/projects/Foundry/Yongjin/DataProcessingIntermediates/Barcode_Trimmed_Set_YP_Merged/merged_reads_2_N30_E_coli_MG1655_LBWv2_143.fastq	/broad/hptmp/tgorocho/nif_N30/	./results/N30/
N31	./data/fasta/N31.fasta	./data/gff/N31.gff	./data/bed/N31.bed	/btl/projects/Foundry/Yongjin/DataProcessingIntermediates/Barcode_Trimmed_Set_YP_Merged/merged_reads_1_N31_E_coli_MG1655_LBWv2_132.fastq	/btl/projects/Foundry/Yongjin/DataProcessingIntermediates/Barcode_Trimmed_Set_YP_Merged/merged_reads_2_N31_E_coli_MG1655_LBWv2_132.fastq	/broad/hptmp/tgorocho/nif_N31/	./results/N31/
