Attribute,Variant,nifU,nifS,nifV,nifW,nifZ,nifM
rpkm,1,22869.27915,19253.58036,20669.33601,19802.34343,13275.69133,15912.90907
rpkm,2,27565.8371,24085.43434,17801.44715,24688.27833,9422.121424,38465.94325
rpkm,3,26504.20398,38443.48205,41023.03407,19738.43983,8082.103336,15802.57187
rpkm,4,17543.89027,24104.01596,28411.60229,11542.48362,4087.238581,13268.27798
rpkm,5,5157.744838,7897.74356,11317.55726,26552.59938,7189.816454,16250.36714
rpkm,6,3638.930911,5690.950331,40126.83651,92947.24527,36125.12183,57556.58372
rpkm,7,3027.703003,4968.397491,45561.39061,101867.3452,39918.11459,51282.81222
rpkm,8,8124.243063,16206.05294,1114.323826,32582.46867,5476.534469,25281.1774
rpkm,9,4028.837473,8086.577858,34413.08072,71399.41027,17126.94832,62996.09471
rpkm,10,1083.925371,1497.769405,5489.863891,18185.17111,8969.892981,7933.179024
rpkm,11,17942.08738,5824.012788,3519.138481,32554.50168,19676.9144,20822.60451
rpkm,12,13452.51441,24071.91872,19298.93209,20637.26519,4753.55322,21364.369
rpkm,13,6021.007895,8296.582503,12474.00352,17528.55185,4142.57096,21472.66638
rpkm,14,13149.40204,14952.00076,2540.530432,19304.42293,11031.37755,23668.19796
rpkm,15,20066.60577,23259.26099,38366.59946,16716.45654,20047.78847,26740.97183
rpkm,16,3143.159804,5910.251929,18418.86045,50994.34451,10441.69911,51092.50142
rpkm,17,91187.74735,11248.96902,4042.174054,29622.35802,34172.6765,26438.76185
rpkm,18,71130.80489,11923.65031,5192.853151,20297.16678,2683.840131,6421.301129
rpkm,19,55833.35195,16054.44184,27852.59281,22169.20251,4956.902161,8521.018734
rpkm,20,80716.93482,13096.72286,11263.01267,48064.38248,38167.84755,38515.51386
rpkm,21,20758.94637,21816.81321,6425.019119,12051.22576,7945.145191,14107.7102
rpkm,22,16259.61541,14772.72924,4417.137227,3690.753359,3439.969485,9133.586495
rpkm,23,10429.59158,10269.19684,31998.4526,9610.737607,7338.141063,18084.77802
rpkm,24,34771.7709,38478.54503,69354.60447,51111.99996,32083.58998,38925.97338
rpkm,25,13014.9679,8153.77392,6227.350107,72320.05301,36812.92702,104422.0499
rpkm,26,9385.152628,11042.43385,12424.92295,33784.77099,16148.7776,25447.92979
rpkm,27,6817.395753,17661.46513,24117.88299,27047.98942,4393.131187,25850.72941
rpkm,28,5521.176643,11071.06858,1599.540986,15484.91689,9785.722425,13959.06548
rpkm,29,8388.316873,16871.63392,9325.6611,12967.64469,5228.938381,19108.87374
rpkm,30,16690.15628,6642.88863,4781.00096,31350.11233,18496.19289,38854.86039
rpkm,31,3013.987624,3079.270689,40117.32545,23405.63153,27748.77665,24630.66535
rpkm,32,17748.37972,22160.88784,16113.31485,27725.02491,3348.554246,3650.701839
rpkm,33,57663.43293,10890.5395,4490.66883,25281.10487,18053.51225,26377.45745
rpkm,34,8529.941302,9918.375856,13169.97057,14869.4002,11360.76636,21519.22379
rpkm,35,13111.55611,10630.63907,3610.19051,6028.608798,4217.952811,6582.525916
rpkm,36,33745.18426,30760.11478,79864.82808,29756.88077,12517.5653,55075.29223
rpkm,37,3718.622866,3146.450222,2950.752882,102503.1975,16555.46046,27966.26098
rpkm,38,78009.9037,115696.4589,129432.9315,162290.1408,24449.57676,105423.0675
rpkm,39,7176.3724,21718.68462,18568.19,24176.73613,14878.9439,21116.08315
rpkm,40,3095.736311,4087.593578,6876.252471,15512.6911,7142.103326,20520.45629
rpkm,41,2817.378524,5127.394388,17620.95212,15217.70227,11450.52191,18199.51289
rpkm,42,7103.41867,21476.62012,15852.12933,9110.621201,21472.41429,9008.332754
rpkm,43,15291.78156,17428.92127,1904.327564,28129.97833,3141.419629,3204.917662
rpkm,44,16903.47348,18738.33208,13334.57265,24149.99743,16331.44171,31046.79512
rpkm,45,43721.31933,9849.390363,3622.049391,12838.20282,6469.299419,17892.87927
rpkm,46,27639.001,14374.19226,13367.31738,200.6024985,109.0030847,747.4547142
rpkm,47,24189.21985,24211.5357,6590.414826,9248.539714,4067.214369,14823.5273
rpkm,48,2970.133299,3717.685665,6692.611645,18327.74753,5585.155273,16124.52037
rpkm,49,2727.194637,6291.028221,15870.76851,12320.97535,11507.87316,22376.80048
rpkm,50,33806.07639,43316.47153,56461.01668,43037.49225,31304.96849,33840.78651
rpkm,51,3199.889377,5201.493348,6407.01113,13315.67553,4299.8522,15173.24337
rpkm,52,2172.159347,3221.11023,3934.008352,37163.80497,17649.4346,25872.48583
rpkm,53,43255.89565,10502.82184,3329.320773,9492.623342,6561.123067,18670.90779
rpkm,54,14270.21564,5404.44506,3806.335452,23942.79148,4477.357677,7352.425872
rpkm,55,12480.26711,15400.91806,1325.473803,22843.62579,14330.52248,21637.15467
rpkm,56,18878.19609,17027.18634,12106.6169,20622.90215,9498.426981,23008.7406
rpkm,57,31758.02701,11158.89883,3847.720465,302.8872186,158.5419497,647.7613516
rpkm,58,26848.42025,10613.5957,15396.25811,2426.181511,1238.452387,32852.99759
rpkm,59,4792.513305,5197.706034,1516.575732,6998.221069,2390.484866,7761.355369
rpkm,60,2315.277401,4244.075181,4528.51533,69102.75601,25612.43561,32955.11211
rpkm,61,27214.14956,24066.37094,24363.40611,43917.80016,28397.96115,41131.53887
rpkm,62,47677.66532,6741.544693,8688.734532,22375.68959,11606.45455,31164.56903
rpkm,63,12459.45725,15.5003634,20.32979147,30069.7146,4.49246448,30224.76321
rpkm,64,5883.982186,9224.003697,36772.68667,32089.91026,37770.125,30783.03514
rpkm,65,5094.190284,8897.740537,22989.60577,41734.31461,8722.486495,5371.345322
rpkm,66,22707.61851,4786.231323,3559.195742,72987.32112,46776.27535,64804.09724
rpkm,67,14026.03014,20565.24423,2110.35039,21788.96503,7417.461582,25451.30114
rpkm,68,57181.80687,53207.03813,45651.43129,57838.25297,40686.31726,47321.4692
rpkm,69,15040.78882,130.7286498,165.0162878,2104.6306,1259.920182,20848.95012
rpkm,70,68420.48131,8948.114544,11808.03449,44551.84223,13386.79672,38829.94727
rpkm,71,4666.480708,8228.332005,8197.649734,106380.608,45753.63375,83194.34832
rpkm,72,15891.26319,16432.374,28222.31396,56765.90946,11028.58115,40382.47498
rpkm,73,26958.08444,13215.98231,11669.73904,34528.54859,9779.217803,36688.26222
rpkm,74,100743.7837,142829.4814,194427.7056,56553.29717,49253.05232,60089.77279
rpkm,75,3283.106854,4389.663835,5772.123895,25033.68246,16852.34226,15450.40092
rpkm,76,137.7873867,179.98306,1663.780096,918.447798,57.1184767,125.6201481
rpkm,77,3759.89776,5616.739755,27136.53944,24806.41261,15177.96738,25309.49526
rpkm,78,11769.89065,3052.047718,2197.63558,18388.38363,7909.967207,17018.51534
rpkm,79,19540.03997,18885.82653,1931.503888,15895.5347,11279.16025,15890.75222
rpkm,80,22725.69055,19809.44893,14489.84942,22009.78091,6986.556196,22300.0125
rpkm,81,82011.67347,8654.28566,4200.800725,46983.43331,10117.98602,21194.44938
rpkm,82,92490.05877,7899.109842,10006.14778,100074.0871,42481.59177,59738.90882
rpkm,83,43449.00926,40996.48973,91355.48973,105369.4728,49561.43791,97333.81151
rpkm,84,40627.16334,39272.31339,60283.4988,92223.27553,55218.15155,70589.81664
